deal_id,month,collections_available,servicing_fee_paid,senior_interest_paid,senior_principal_paid,subordinate_interest_paid,subordinate_principal_paid,excess_spread_to_originator,ce_opening_balance,ce_drawn_this_month,ce_closing_balance,ce_cover_ratio
D0011,2024-10-01,7.41,0.08,1.17,5.83,0.0,0.0,0.33,6.62,0.0,6.62,0.0606
D0011,2024-11-01,6.92,0.08,1.15,5.46,0.0,0.0,0.23,6.62,0.0,6.62,0.0638
D0011,2024-12-01,5.83,0.07,1.08,4.54,0.0,0.0,0.14,6.62,0.0,6.62,0.0667
D0011,2025-01-01,6.21,0.07,1.01,4.66,0.0,0.0,0.47,6.62,0.0,6.62,0.07
D0011,2025-02-01,5.98,0.07,0.95,4.68,0.0,0.0,0.28,6.62,0.0,6.62,0.0737
D0011,2025-03-01,7.34,0.06,0.9,6.31,0.0,0.0,0.07,6.62,0.0,6.62,0.0793
D0011,2025-04-01,5.46,0.06,0.92,4.25,0.0,0.0,0.23,6.62,0.0,6.62,0.0835
D0011,2025-05-01,6.35,0.05,0.78,5.5,0.0,0.0,0.02,6.62,0.0,6.62,0.0897
D0011,2025-06-01,4.28,0.05,0.83,3.18,0.0,0.0,0.22,6.62,0.0,6.62,0.0938
D0011,2025-07-01,4.39,0.05,0.73,3.57,0.0,0.0,0.04,6.62,0.0,6.62,0.0988
D0011,2025-08-01,3.82,0.05,0.6,3.13,0.0,0.0,0.04,6.62,0.0,6.62,0.1036
D0011,2025-09-01,3.59,0.05,0.68,2.82,0.0,0.0,0.04,6.62,0.0,6.62,0.1084
D0011,2025-10-01,3.74,0.04,0.67,2.93,0.0,0.0,0.1,6.62,0.0,6.62,0.1138
D0011,2025-11-01,3.26,0.04,0.63,2.49,0.0,0.0,0.1,6.62,0.0,6.62,0.1189
D0011,2025-12-01,3.56,0.04,0.55,2.81,0.0,0.0,0.16,6.62,0.0,6.62,0.1253
D0011,2026-01-01,3.29,0.04,0.53,2.48,0.0,0.0,0.24,6.62,0.0,6.62,0.1314
D0011,2026-02-01,2.81,0.04,0.54,2.22,0.0,0.0,0.01,6.62,0.0,6.62,0.1375
D0011,2026-03-01,2.99,0.03,0.47,2.28,0.0,0.0,0.21,6.62,0.0,6.62,0.1443
D0011,2026-04-01,2.66,0.03,0.43,2.03,0.0,0.0,0.17,6.62,0.0,6.62,0.151
D0011,2026-05-01,2.69,0.03,0.47,2.13,0.0,0.0,0.06,6.62,0.0,6.62,0.1587
D0011,2026-06-01,2.4,0.03,0.42,1.83,0.0,0.0,0.12,6.62,0.0,6.62,0.166
D0011,2026-07-01,2.22,0.03,0.43,1.76,0.0,0.0,0.0,6.62,0.0,6.62,0.1737
D0015,2025-01-01,3.09,0.05,0.57,2.27,0.0,0.0,0.2,0.33,0.0,0.33,0.0052
D0015,2025-02-01,2.78,0.05,0.48,2.11,0.0,0.0,0.14,0.33,0.0,0.33,0.0054
D0015,2025-03-01,2.72,0.05,0.5,2.0,0.0,0.0,0.17,0.33,0.0,0.33,0.0056
D0015,2025-04-01,2.7,0.05,0.49,2.13,0.0,0.0,0.03,0.33,0.0,0.33,0.0058
D0015,2025-05-01,2.98,0.04,0.5,2.23,0.0,0.0,0.21,0.33,0.0,0.33,0.006
D0015,2025-06-01,2.61,0.04,0.38,1.99,0.0,0.0,0.2,0.33,0.0,0.33,0.0063
D0015,2025-07-01,2.24,0.04,0.42,1.78,0.0,0.0,0.0,0.33,0.08,0.25,0.0049
D0015,2025-08-01,2.28,0.04,0.39,1.85,0.0,0.0,0.0,0.25,0.06,0.19,0.0039
D0015,2025-09-01,2.23,0.04,0.35,1.69,0.0,0.0,0.15,0.19,0.0,0.19,0.004
D0015,2025-10-01,2.01,0.04,0.42,1.5,0.0,0.0,0.05,0.19,0.0,0.19,0.0041
D0015,2025-11-01,1.99,0.04,0.38,1.57,0.0,0.0,0.0,0.19,0.04,0.15,0.0034
D0015,2025-12-01,2.02,0.03,0.35,1.64,0.0,0.0,0.0,0.15,0.09,0.06,0.0014
D0015,2026-01-01,1.9,0.03,0.33,1.43,0.0,0.0,0.11,0.06,0.0,0.06,0.0015
D0015,2026-02-01,1.96,0.03,0.38,1.58,0.0,0.0,0.0,0.06,0.06,0.0,0.0
D0015,2026-03-01,2.56,0.03,0.3,2.05,0.0,0.0,0.18,0.0,0.0,0.0,0.0
D0015,2026-04-01,1.57,0.03,0.32,1.16,0.0,0.0,0.06,0.0,0.0,0.0,0.0
D0015,2026-06-01,1.62,0.03,0.31,1.24,0.0,0.0,0.04,0.0,0.0,0.0,0.0
D0016,2025-08-01,9.96,0.22,2.21,6.39,0.0,0.0,1.14,30.47,0.0,30.47,0.1245
D0016,2025-09-01,9.08,0.21,2.18,6.05,0.0,0.0,0.64,30.47,0.0,30.47,0.1277
D0016,2025-10-01,9.39,0.21,2.15,6.12,0.0,0.0,0.91,30.47,0.0,30.47,0.1311
D0016,2025-11-01,9.5,0.2,2.31,5.95,0.0,0.0,1.04,30.47,0.0,30.47,0.1345
D0016,2025-12-01,8.85,0.2,2.11,5.59,0.0,0.0,0.95,30.47,0.0,30.47,0.1379
D0016,2026-01-01,8.32,0.19,1.8,5.66,0.0,0.0,0.67,30.47,0.0,30.47,0.1415
D0016,2026-02-01,8.35,0.19,2.01,5.37,0.0,0.0,0.78,30.47,0.0,30.47,0.1451
D0016,2026-03-01,7.47,0.18,1.71,5.37,0.0,0.0,0.21,30.47,0.0,30.47,0.149
D0016,2026-04-01,11.2,0.17,2.04,8.31,0.0,0.0,0.68,30.47,0.0,30.47,0.1553
D0016,2026-05-01,7.73,0.17,1.84,4.92,0.0,0.0,0.8,30.47,0.0,30.47,0.1593
D0016,2026-06-01,6.71,0.17,1.48,4.91,0.0,0.0,0.15,30.47,0.0,30.47,0.1634
D0016,2026-07-01,6.71,0.16,1.67,4.73,0.0,0.0,0.15,30.47,0.0,30.47,0.1677
D0018,2026-01-01,9.92,0.14,1.24,8.15,0.0,0.0,0.39,4.75,0.0,4.75,0.0386
D0018,2026-02-01,8.88,0.13,1.21,7.08,0.0,0.0,0.46,4.75,0.0,4.75,0.0409
D0018,2026-03-01,9.25,0.13,1.21,7.81,0.0,0.0,0.1,4.75,0.0,4.75,0.0439
D0018,2026-04-01,8.37,0.12,1.09,7.0,0.0,0.0,0.16,4.75,0.0,4.75,0.0469
D0018,2026-05-01,7.67,0.11,1.02,6.47,0.0,0.0,0.07,4.75,0.0,4.75,0.0501
D0018,2026-06-01,7.06,0.1,0.91,5.82,0.0,0.0,0.23,4.75,0.0,4.75,0.0534
D0018,2026-07-01,7.18,0.1,0.82,6.26,0.0,0.0,0.0,4.75,0.15,4.6,0.0556
D0022,2024-11-01,6.23,0.07,0.8,5.09,0.0,0.0,0.27,0.0,0.0,0.0,0.0
D0022,2024-12-01,7.04,0.06,0.79,5.91,0.0,0.0,0.28,0.0,0.0,0.0,0.0
D0022,2025-01-01,6.05,0.06,0.83,4.88,0.0,0.0,0.28,0.0,0.0,0.0,0.0
D0022,2025-02-01,6.39,0.06,0.75,5.23,0.0,0.0,0.35,0.0,0.0,0.0,0.0
D0022,2025-03-01,5.77,0.05,0.65,4.79,0.0,0.0,0.28,0.0,0.0,0.0,0.0
D0022,2025-04-01,5.62,0.05,0.67,4.71,0.0,0.0,0.19,0.0,0.0,0.0,0.0
D0022,2025-05-01,4.2,0.05,0.68,3.28,0.0,0.0,0.19,0.0,0.0,0.0,0.0
D0022,2025-06-01,4.56,0.05,0.57,3.8,0.0,0.0,0.14,0.0,0.0,0.0,0.0
D0022,2025-07-01,4.48,0.04,0.56,3.87,0.0,0.0,0.01,0.0,0.0,0.0,0.0
D0022,2025-08-01,4.21,0.04,0.46,3.7,0.0,0.0,0.01,0.0,0.0,0.0,0.0
D0022,2025-09-01,3.31,0.04,0.44,2.71,0.0,0.0,0.12,0.0,0.0,0.0,0.0
D0022,2025-10-01,3.25,0.04,0.46,2.55,0.0,0.0,0.2,0.0,0.0,0.0,0.0
D0022,2025-11-01,3.34,0.04,0.47,2.82,0.0,0.0,0.01,0.0,0.0,0.0,0.0
D0022,2025-12-01,3.77,0.03,0.48,3.15,0.0,0.0,0.11,0.0,0.0,0.0,0.0
D0022,2026-01-01,3.31,0.03,0.4,2.85,0.0,0.0,0.03,0.0,0.0,0.0,0.0
D0022,2026-02-01,3.37,0.03,0.36,2.81,0.0,0.0,0.17,0.0,0.0,0.0,0.0
D0022,2026-03-01,2.63,0.03,0.41,2.15,0.0,0.0,0.04,0.0,0.0,0.0,0.0
D0022,2026-04-01,3.09,0.03,0.33,2.64,0.0,0.0,0.09,0.0,0.0,0.0,0.0
D0022,2026-05-01,2.82,0.03,0.34,2.25,0.0,0.0,0.2,0.0,0.0,0.0,0.0
D0022,2026-06-01,2.53,0.03,0.33,2.02,0.0,0.0,0.15,0.0,0.0,0.0,0.0
D0022,2026-07-01,2.5,0.02,0.34,1.97,0.0,0.0,0.17,0.0,0.0,0.0,0.0
D0024,2025-02-01,1.87,0.07,0.45,1.16,0.0,0.0,0.19,3.27,0.0,3.27,0.0775
D0024,2025-03-01,1.73,0.06,0.47,1.16,0.0,0.0,0.04,3.27,0.0,3.27,0.0797
D0024,2025-04-01,1.59,0.06,0.43,1.01,0.0,0.0,0.09,3.27,0.0,3.27,0.0817
D0024,2025-05-01,1.5,0.06,0.41,0.94,0.0,0.0,0.09,3.27,0.0,3.27,0.0837
D0024,2025-06-01,1.47,0.06,0.4,1.01,0.0,0.0,0.0,3.27,0.0,3.27,0.0859
D0024,2025-07-01,1.57,0.06,0.39,0.98,0.0,0.0,0.14,3.27,0.0,3.27,0.0882
D0024,2025-08-01,1.53,0.06,0.41,0.95,0.0,0.0,0.11,3.27,0.0,3.27,0.0905
D0024,2025-09-01,1.27,0.06,0.36,0.84,0.0,0.0,0.01,3.27,0.0,3.27,0.0926
D0024,2025-10-01,1.48,0.05,0.37,0.93,0.0,0.0,0.13,3.27,0.0,3.27,0.0951
D0024,2025-11-01,1.3,0.05,0.36,0.88,0.0,0.0,0.01,3.27,0.0,3.27,0.0976
D0024,2026-01-01,1.3,0.05,0.35,0.82,0.0,0.0,0.08,3.27,0.0,3.27,0.1028
D0024,2026-02-01,1.3,0.05,0.33,0.76,0.0,0.0,0.16,3.27,0.0,3.27,0.1053
D0024,2026-03-01,1.3,0.05,0.29,0.85,0.0,0.0,0.11,3.27,0.0,3.27,0.1083
D0024,2026-04-01,1.19,0.05,0.3,0.75,0.0,0.0,0.09,3.27,0.0,3.27,0.111
D0024,2026-05-01,1.21,0.05,0.29,0.81,0.0,0.0,0.06,3.27,0.0,3.27,0.1142
D0024,2026-06-01,1.29,0.04,0.33,0.79,0.0,0.0,0.13,3.27,0.0,3.27,0.1174
D0025,2025-05-01,7.78,0.23,1.28,5.86,0.0,0.0,0.41,9.72,0.0,9.72,0.0594
D0025,2025-06-01,8.88,0.22,1.49,6.65,0.0,0.0,0.52,9.72,0.0,9.72,0.0619
D0025,2025-08-01,7.41,0.2,1.31,5.78,0.0,0.0,0.12,9.72,0.0,9.72,0.0669
D0025,2025-09-01,8.25,0.19,1.08,6.31,0.0,0.0,0.67,9.72,0.0,9.72,0.07
D0025,2025-10-01,6.54,0.19,1.17,5.05,0.0,0.0,0.13,9.72,0.0,9.72,0.0726
D0025,2025-11-01,7.26,0.18,0.91,5.79,0.0,0.0,0.38,9.72,0.0,9.72,0.0759
D0025,2025-12-01,6.04,0.17,1.0,4.6,0.0,0.0,0.27,9.72,0.0,9.72,0.0787
D0025,2026-01-01,5.99,0.17,0.89,4.43,0.0,0.0,0.5,9.72,0.0,9.72,0.0816
D0025,2026-02-01,5.1,0.16,0.9,3.82,0.0,0.0,0.22,9.72,0.0,9.72,0.0843
D0025,2026-03-01,6.46,0.15,1.09,4.78,0.0,0.0,0.44,9.72,0.0,9.72,0.088
D0025,2026-04-01,6.18,0.15,0.85,4.75,0.0,0.0,0.43,9.72,0.0,9.72,0.0919
D0025,2026-05-01,4.76,0.14,0.86,3.61,0.0,0.0,0.15,9.72,0.0,9.72,0.0952
D0025,2026-06-01,4.45,0.14,0.69,3.48,0.0,0.0,0.14,9.72,0.0,9.72,0.0986
D0025,2026-07-01,5.05,0.13,0.86,4.01,0.0,0.0,0.05,9.72,0.0,9.72,0.1027
D0026,2025-02-01,29.44,0.31,2.92,25.13,0.0,0.0,1.08,21.3,0.0,21.3,0.0669
D0026,2025-03-01,20.26,0.3,2.75,16.32,0.0,0.0,0.89,21.3,0.0,21.3,0.0705
D0026,2025-04-01,19.15,0.28,2.35,15.55,0.0,0.0,0.97,21.3,0.0,21.3,0.0743
D0026,2025-05-01,18.54,0.27,2.36,14.57,0.0,0.0,1.34,21.3,0.0,21.3,0.0783
D0026,2025-06-01,17.93,0.25,2.43,14.07,0.0,0.0,1.18,21.3,0.0,21.3,0.0826
D0026,2025-07-01,15.86,0.24,2.01,13.06,0.0,0.0,0.55,21.3,0.0,21.3,0.087
D0026,2025-08-01,16.05,0.23,1.86,13.13,0.0,0.0,0.83,21.3,0.0,21.3,0.0919
D0026,2025-09-01,14.88,0.22,1.98,12.06,0.0,0.0,0.62,21.3,0.0,21.3,0.097
D0026,2025-10-01,14.03,0.21,1.9,11.37,0.0,0.0,0.55,21.3,0.0,21.3,0.1023
D0026,2025-11-01,13.29,0.19,1.7,11.01,0.0,0.0,0.39,21.3,0.0,21.3,0.108
D0026,2025-12-01,11.85,0.19,1.68,9.84,0.0,0.0,0.14,21.3,0.0,21.3,0.1136
D0026,2026-01-01,12.31,0.18,1.54,10.05,0.0,0.0,0.54,21.3,0.0,21.3,0.1201
D0026,2026-02-01,10.7,0.17,1.51,8.94,0.0,0.0,0.08,21.3,0.0,21.3,0.1264
D0026,2026-03-01,11.21,0.16,1.43,8.98,0.0,0.0,0.64,21.3,0.0,21.3,0.1336
D0026,2026-04-01,9.76,0.15,1.37,7.97,0.0,0.0,0.27,21.3,0.0,21.3,0.1406
D0026,2026-05-01,9.45,0.14,1.32,7.76,0.0,0.0,0.23,21.3,0.0,21.3,0.1482
D0026,2026-06-01,9.42,0.13,1.2,7.6,0.0,0.0,0.49,21.3,0.0,21.3,0.1564
D0026,2026-07-01,8.83,0.13,1.22,7.28,0.0,0.0,0.2,21.3,0.0,21.3,0.1653
D0028,2025-04-01,1.09,0.01,0.0,0.0,0.17,0.87,0.04,0.01,0.0,0.01,
D0028,2025-05-01,0.91,0.01,0.0,0.0,0.16,0.72,0.02,0.01,0.0,0.01,
D0028,2025-06-01,0.91,0.01,0.0,0.0,0.15,0.69,0.06,0.01,0.0,0.01,
D0028,2025-07-01,0.83,0.01,0.0,0.0,0.14,0.64,0.04,0.01,0.0,0.01,
D0028,2025-09-01,0.88,0.01,0.0,0.0,0.13,0.69,0.05,0.01,0.0,0.01,
D0028,2025-10-01,0.67,0.01,0.0,0.0,0.12,0.51,0.03,0.01,0.0,0.01,
D0028,2025-11-01,0.64,0.01,0.0,0.0,0.12,0.5,0.01,0.01,0.0,0.01,
D0028,2025-12-01,0.67,0.01,0.0,0.0,0.12,0.5,0.04,0.01,0.0,0.01,
D0028,2026-01-01,0.65,0.01,0.0,0.0,0.11,0.49,0.04,0.01,0.0,0.01,
D0028,2026-02-01,0.51,0.01,0.0,0.0,0.1,0.39,0.01,0.01,0.0,0.01,
D0028,2026-03-01,0.67,0.01,0.0,0.0,0.11,0.54,0.01,0.01,0.0,0.01,
D0028,2026-04-01,0.53,0.01,0.0,0.0,0.11,0.36,0.05,0.01,0.0,0.01,
D0028,2026-05-01,0.53,0.01,0.0,0.0,0.09,0.41,0.02,0.01,0.0,0.01,
D0028,2026-06-01,0.6,0.01,0.0,0.0,0.09,0.46,0.04,0.01,0.0,0.01,
D0028,2026-07-01,0.52,0.01,0.0,0.0,0.08,0.42,0.01,0.01,0.0,0.01,
D0029,2026-04-01,20.94,0.13,2.38,17.47,0.0,0.0,0.96,13.66,0.0,13.66,0.0562
D0029,2026-05-01,16.67,0.12,2.83,13.48,0.0,0.0,0.24,13.66,0.0,13.66,0.0595
D0029,2026-06-01,18.63,0.11,2.31,15.89,0.0,0.0,0.32,13.66,0.0,13.66,0.0639
D0029,2026-07-01,16.21,0.11,2.25,13.35,0.0,0.0,0.5,13.66,0.0,13.66,0.0682
D0031,2025-06-01,2.0,0.02,0.24,1.61,0.0,0.0,0.13,0.57,0.0,0.57,0.0199
D0031,2025-07-01,1.8,0.02,0.23,1.43,0.0,0.0,0.12,0.57,0.0,0.57,0.021
D0031,2025-08-01,1.5,0.02,0.24,1.16,0.0,0.0,0.08,0.57,0.0,0.57,0.0219
D0031,2025-09-01,1.36,0.02,0.21,1.08,0.0,0.0,0.05,0.57,0.0,0.57,0.0229
D0031,2025-10-01,1.21,0.02,0.21,0.97,0.0,0.0,0.01,0.57,0.0,0.57,0.0238
D0031,2025-11-01,1.31,0.02,0.2,1.09,0.0,0.0,0.0,0.57,0.03,0.54,0.0236
D0031,2025-12-01,1.09,0.02,0.18,0.89,0.0,0.0,0.0,0.54,0.02,0.52,0.0237
D0031,2026-02-01,1.17,0.02,0.18,0.97,0.0,0.0,0.0,0.52,0.01,0.51,0.0255
D0031,2026-03-01,0.94,0.01,0.18,0.75,0.0,0.0,0.0,0.51,0.03,0.48,0.0249
D0031,2026-04-01,1.04,0.01,0.18,0.85,0.0,0.0,0.0,0.48,0.04,0.44,0.0239
D0031,2026-05-01,1.14,0.01,0.17,0.93,0.0,0.0,0.03,0.44,0.0,0.44,0.0252
D0031,2026-06-01,1.07,0.01,0.15,0.87,0.0,0.0,0.04,0.44,0.0,0.44,0.0265
D0031,2026-07-01,1.44,0.01,0.14,1.22,0.0,0.0,0.07,0.44,0.0,0.44,0.0286
D0033,2026-05-01,2.45,0.05,0.29,2.04,0.0,0.0,0.07,0.17,0.0,0.17,0.0056
D0033,2026-06-01,2.23,0.04,0.29,1.79,0.0,0.0,0.11,0.17,0.0,0.17,0.0059
