company,instrument,deal_name,code,status
IIFL Finance Limited,DA,DCB-BL-D0032,D0032,Active
IIFL Finance Limited,PTC,Punjab-SME-D0033,D0033,Active
IIFL Finance Limited,PTC,Bank-Gold-D0034,D0034,Active
IIFL Finance Limited,PTC,Punjab-BL-D0035,D0035,Active
IIFL Finance Limited,DA,Bank-Gold-D0036,D0036,Active
IIFL Finance Limited,PTC,Aditya-BL-D0037,D0037,Active
IIFL Finance Limited,DA,Aditya-MFI-D0038,D0038,Active
IIFL Finance Limited,PTC,Bandhan-SME-D0039,D0039,Active
IIFL Finance Limited,DA,Bank-BL-D0040,D0040,Active
IIFL Finance Limited,PTC,DCB-BL-D0041,D0041,Active
IIFL Finance Limited,PTC,Federal-BL-D0042,D0042,Active
IIFL Finance Limited,DA,Aditya-BL-D0043,D0043,Active
IIFL Finance Limited,PTC,Central-HCF-D0044,D0044,Closed
IIFL Finance Limited,PTC,AU-LAP-D0045,D0045,Active
IIFL Finance Limited,DA,Central-BL-D0046,D0046,Active
IIFL Finance Limited,DA,RBL-SME-D0047,D0047,Active
IIFL Finance Limited,DA,Indian-Gold-D0048,D0048,Closed
IIFL Finance Limited,DA,AU-MFI-D0049,D0049,Active
IIFL Finance Limited,DA,DCB-LAP-D0050,D0050,Active
IIFL Finance Limited,DA,Punjab-BL-D0051,D0051,Closed
IIFL Finance Limited,DA,Bandhan-SME-D0052,D0052,Active
IIFL Finance Limited,DA,Indian-LAP-D0053,D0053,Active
IIFL Finance Limited,PTC,Punjab-Gold-D0054,D0054,Active
IIFL Finance Limited,DA,AU-SME-D0055,D0055,Active
IIFL Finance Limited,DA,Central-BL-D0056,D0056,Active
IIFL Finance Limited,DA,RBL-BL-D0057,D0057,Active
IIFL Finance Limited,PTC,AU-LAP-D0058,D0058,Active
IIFL Finance Limited,DA,UCO-LAP-D0059,D0059,Active
IIFL Finance Limited,DA,Indian-MFI-D0060,D0060,Closed
IIFL Finance Limited,DA,UCO-Gold-D0061,D0061,Closed
IIFL Finance Limited,DA,Federal-LAP-D0062,D0062,Active
IIFL Finance Limited,PTC,Karur-SME-D0063,D0063,Active
IIFL Finance Limited,PTC,DCB-MFI-D0064,D0064,Active
IIFL Finance Limited,PTC,Karur-LAP-D0065,D0065,Active
IIFL Finance Limited,DA,Karur-SME-D0066,D0066,Active
IIFL Samasta Finance,DA,Central-HCF-D0067,D0067,Active
IIFL Finance Limited,PTC,Federal-Gold-D0068,D0068,Active
IIFL Finance Limited,DA,UCO-HCF-D0069,D0069,Active
IIFL Finance Limited,PTC,South-Gold-D0070,D0070,Active
IIFL Finance Limited,PTC,South-SME-D0071,D0071,Active
IIFL Finance Limited,PTC,Federal-MFI-D0072,D0072,Active
IIFL Finance Limited,DA,Punjab-BL-D0073,D0073,Active
IIFL Finance Limited,PTC,Punjab-MFI-D0074,D0074,Active
IIFL Finance Limited,DA,RBL-Gold-D0075,D0075,Active
IIFL Finance Limited,PTC,Aditya-MFI-D0076,D0076,Active
IIFL Finance Limited,PTC,Punjab-BL-D0077,D0077,Closed
IIFL Finance Limited,PTC,Bandhan-SME-D0078,D0078,Active
IIFL Finance Limited,DA,Bank-LAP-D0079,D0079,Active
IIFL Samasta Finance,DA,Bandhan-HCF-D0080,D0080,Active
IIFL Finance Limited,PTC,DCB-BL-D0081,D0081,Closed
IIFL Finance Limited,DA,Federal-MFI-D0082,D0082,Closed
IIFL Finance Limited,DA,UCO-MFI-D0083,D0083,Active
IIFL Finance Limited,PTC,RBL-MFI-D0084,D0084,Closed
IIFL Finance Limited,DA,Bank-BL-D0085,D0085,Closed
IIFL Finance Limited,PTC,Aditya-LAP-D0086,D0086,Active
IIFL Finance Limited,PTC,Karur-BL-D0087,D0087,Active
IIFL Finance Limited,DA,UCO-Gold-D0088,D0088,Active
IIFL Finance Limited,PTC,AU-Gold-D0089,D0089,Closed
IIFL Finance Limited,PTC,South-HCF-D0090,D0090,Active
IIFL Finance Limited,PTC,Aditya-SME-D0091,D0091,Active
IIFL Finance Limited,PTC,RBL-MFI-D0092,D0092,Active
IIFL Finance Limited,DA,Bank-SME-D0093,D0093,Active
IIFL Finance Limited,PTC,Central-LAP-D0094,D0094,Active
IIFL Finance Limited,DA,Karur-MFI-D0095,D0095,Active
IIFL Finance Limited,DA,Central-LAP-D0096,D0096,Active
IIFL Finance Limited,PTC,Bank-LAP-D0097,D0097,Active
IIFL Finance Limited,DA,South-LAP-D0098,D0098,Active
IIFL Finance Limited,DA,DCB-BL-D0099,D0099,Active
IIFL Finance Limited,PTC,IDBI-SME-D0100,D0100,Active
IIFL Finance Limited,DA,Federal-LAP-D0101,D0101,Active
IIFL Finance Limited,DA,IDBI-HCF-D0102,D0102,Active
IIFL Finance Limited,PTC,IDBI-SME-D0103,D0103,Active
IIFL Finance Limited,PTC,DCB-MFI-D0104,D0104,Active
IIFL Finance Limited,DA,RBL-LAP-D0105,D0105,Active
IIFL Finance Limited,PTC,Aditya-HCF-D0106,D0106,Active
IIFL Finance Limited,PTC,Central-HCF-D0107,D0107,Active
IIFL Finance Limited,DA,South-BL-D0108,D0108,Active
IIFL Finance Limited,DA,Punjab-LAP-D0109,D0109,Active
IIFL Finance Limited,DA,UCO-Gold-D0110,D0110,Active
IIFL Finance Limited,DA,DCB-HCF-D0111,D0111,Active
IIFL Finance Limited,PTC,Central-LAP-D0112,D0112,Active
IIFL Finance Limited,DA,RBL-HCF-D0113,D0113,Active
IIFL Finance Limited,DA,South-HCF-D0114,D0114,Active
IIFL Finance Limited,DA,UCO-BL-D0115,D0115,Active
IIFL Finance Limited,DA,Karur-BL-D0116,D0116,Active
IIFL Finance Limited,PTC,South-LAP-D0117,D0117,Active
IIFL Finance Limited,DA,Aditya-BL-D0118,D0118,Active
IIFL Finance Limited,DA,Bank-HCF-D0119,D0119,Active
IIFL Finance Limited,DA,UCO-HCF-D0120,D0120,Active
IIFL Finance Limited,DA,Central-LAP-D0121,D0121,Active
IIFL Finance Limited,PTC,IDBI-LAP-D0122,D0122,Active
IIFL Finance Limited,DA,UCO-BL-D0123,D0123,Active
IIFL Finance Limited,DA,Karur-LAP-D0124,D0124,Active
IIFL Finance Limited,PTC,DCB-BL-D0125,D0125,Active
IIFL Finance Limited,DA,Bandhan-SME-D0126,D0126,Active
IIFL Finance Limited,DA,South-BL-D0127,D0127,Active
IIFL Finance Limited,PTC,AU-Gold-D0128,D0128,Active
IIFL Finance Limited,DA,Indian-LAP-D0129,D0129,Active
IIFL Finance Limited,DA,Central-HCF-D0130,D0130,Closed
IIFL Finance Limited,PTC,Karur-HCF-D0131,D0131,Closed
IIFL Finance Limited,PTC,Aditya-LAP-D0132,D0132,Active
IIFL Finance Limited,DA,Bank-SME-D0133,D0133,Active
IIFL Finance Limited,DA,IDBI-Gold-D0134,D0134,Active
IIFL Finance Limited,DA,Indian-HCF-D0135,D0135,Active
IIFL Finance Limited,PTC,Punjab-Gold-D0136,D0136,Active
IIFL Finance Limited,PTC,Central-HCF-D0137,D0137,Active
IIFL Samasta Finance,DA,Bank-Gold-D0138,D0138,Active
IIFL Finance Limited,PTC,Karur-HCF-D0139,D0139,Active
IIFL Finance Limited,DA,Indian-HCF-D0140,D0140,Active
IIFL Finance Limited,DA,Indian-SME-D0141,D0141,Active
IIFL Finance Limited,DA,Aditya-Gold-D0142,D0142,Active
IIFL Finance Limited,PTC,South-BL-D0143,D0143,Active
IIFL Finance Limited,DA,IDBI-BL-D0144,D0144,Active
IIFL Finance Limited,PTC,Punjab-Gold-D0145,D0145,Closed
IIFL Finance Limited,PTC,Bandhan-HCF-D0146,D0146,Active
IIFL Finance Limited,PTC,Aditya-SME-D0147,D0147,Active
IIFL Finance Limited,PTC,RBL-MFI-D0148,D0148,Active
IIFL Finance Limited,DA,Federal-SME-D0149,D0149,Active
IIFL Finance Limited,PTC,South-BL-D0150,D0150,Active
IIFL Finance Limited,DA,South-LAP-D0151,D0151,Active
IIFL Finance Limited,DA,RBL-SME-D0152,D0152,Closed
IIFL Finance Limited,PTC,South-SME-D0153,D0153,Active
IIFL Finance Limited,DA,UCO-Gold-D0154,D0154,Active
IIFL Finance Limited,DA,Karur-SME-D0155,D0155,Active
IIFL Finance Limited,DA,Indian-HCF-D0156,D0156,Active
IIFL Finance Limited,DA,Bandhan-LAP-D0157,D0157,Active
IIFL Finance Limited,PTC,Karur-SME-D0158,D0158,Active
IIFL Finance Limited,DA,AU-HCF-D0159,D0159,Active
IIFL Samasta Finance,PTC,RBL-SME-D0160,D0160,Active
IIFL Finance Limited,DA,IDBI-BL-D0161,D0161,Active
IIFL Finance Limited,DA,Central-Gold-D0162,D0162,Active
IIFL Finance Limited,DA,Central-BL-D0163,D0163,Active
IIFL Finance Limited,DA,Central-MFI-D0164,D0164,Closed
IIFL Finance Limited,PTC,UCO-HCF-D0165,D0165,Active
IIFL Finance Limited,DA,Bank-BL-D0166,D0166,Active
IIFL Finance Limited,PTC,Central-SME-D0167,D0167,Active
IIFL Finance Limited,DA,Bank-MFI-D0168,D0168,Closed
IIFL Finance Limited,PTC,Bank-Gold-D0169,D0169,Active
IIFL Finance Limited,PTC,IDBI-BL-D0170,D0170,Active
IIFL Finance Limited,PTC,Central-HCF-D0171,D0171,Active
IIFL Finance Limited,PTC,DCB-Gold-D0172,D0172,Closed
IIFL Finance Limited,DA,Karur-HCF-D0173,D0173,Active
IIFL Finance Limited,PTC,Indian-HCF-D0174,D0174,Active
IIFL Finance Limited,PTC,Indian-Gold-D0175,D0175,Closed
IIFL Finance Limited,PTC,AU-HCF-D0176,D0176,Closed
IIFL Finance Limited,PTC,UCO-LAP-D0177,D0177,Active
IIFL Finance Limited,DA,Bank-LAP-D0178,D0178,Active
IIFL Finance Limited,DA,Bandhan-HCF-D0179,D0179,Active
IIFL Finance Limited,PTC,Aditya-HCF-D0180,D0180,Active
IIFL Finance Limited,PTC,Bandhan-HCF-D0181,D0181,Active
IIFL Finance Limited,PTC,IDBI-LAP-D0182,D0182,Active
IIFL Finance Limited,PTC,UCO-HCF-D0183,D0183,Active
IIFL Finance Limited,DA,RBL-HCF-D0184,D0184,Active
IIFL Finance Limited,PTC,IDBI-HCF-D0185,D0185,Active
IIFL Finance Limited,DA,Bank-LAP-D0186,D0186,Active
IIFL Finance Limited,PTC,RBL-BL-D0187,D0187,Active
IIFL Finance Limited,DA,Bandhan-HCF-D0188,D0188,Active
IIFL Finance Limited,DA,RBL-SME-D0189,D0189,Active
IIFL Finance Limited,DA,Aditya-Gold-D0190,D0190,Active
IIFL Finance Limited,DA,Federal-LAP-D0191,D0191,Closed
IIFL Finance Limited,DA,Aditya-HCF-D0192,D0192,Active
IIFL Finance Limited,PTC,Aditya-LAP-D0193,D0193,Active
IIFL Finance Limited,DA,Federal-Gold-D0194,D0194,Active
IIFL Finance Limited,PTC,AU-SME-D0195,D0195,Active
IIFL Finance Limited,PTC,Aditya-LAP-D0196,D0196,Active
IIFL Finance Limited,DA,UCO-HCF-D0197,D0197,Active
IIFL Finance Limited,PTC,South-LAP-D0198,D0198,Active
IIFL Finance Limited,PTC,AU-LAP-D0199,D0199,Closed
IIFL Finance Limited,DA,IDBI-SME-D0200,D0200,Closed
IIFL Finance Limited,PTC,DCB-LAP-D0201,D0201,Active
IIFL Finance Limited,PTC,Karur-SME-D0202,D0202,Active
IIFL Finance Limited,PTC,Bank-MFI-D0203,D0203,Active
IIFL Finance Limited,DA,Federal-HCF-D0204,D0204,Active
IIFL Finance Limited,PTC,Aditya-MFI-D0205,D0205,Active
IIFL Finance Limited,DA,RBL-MFI-D0206,D0206,Active
IIFL Finance Limited,DA,Aditya-BL-D0207,D0207,Closed
IIFL Finance Limited,PTC,Bank-SME-D0208,D0208,Active
IIFL Finance Limited,PTC,UCO-LAP-D0209,D0209,Active
IIFL Finance Limited,DA,Indian-MFI-D0210,D0210,Active
IIFL Finance Limited,DA,Aditya-MFI-D0211,D0211,Closed
IIFL Finance Limited,DA,AU-LAP-D0212,D0212,Active
IIFL Finance Limited,PTC,Karur-BL-D0213,D0213,Active
IIFL Finance Limited,DA,DCB-MFI-D0214,D0214,Active
IIFL Finance Limited,PTC,Aditya-BL-D0215,D0215,Closed
IIFL Finance Limited,DA,AU-LAP-D0216,D0216,Active
IIFL Finance Limited,PTC,Federal-HCF-D0217,D0217,Active
IIFL Finance Limited,PTC,South-MFI-D0218,D0218,Closed
IIFL Finance Limited,PTC,Bank-LAP-D0219,D0219,Active
IIFL Finance Limited,DA,UCO-Gold-D0220,D0220,Active
IIFL Finance Limited,DA,DCB-LAP-D0221,D0221,Active
IIFL Finance Limited,PTC,South-Gold-D0222,D0222,Active
IIFL Finance Limited,PTC,Karur-Gold-D0223,D0223,Active
IIFL Samasta Finance,DA,Central-BL-D0224,D0224,Active
IIFL Finance Limited,DA,IDBI-HCF-D0225,D0225,Active
IIFL Finance Limited,DA,IDBI-BL-D0226,D0226,Active
IIFL Finance Limited,DA,UCO-BL-D0227,D0227,Active
IIFL Finance Limited,DA,IDBI-LAP-D0228,D0228,Closed
IIFL Finance Limited,DA,AU-Gold-D0229,D0229,Active
IIFL Finance Limited,PTC,Federal-LAP-D0230,D0230,Active
IIFL Finance Limited,PTC,Central-SME-D0231,D0231,Active
IIFL Finance Limited,PTC,Central-SME-D0232,D0232,Active
IIFL Finance Limited,DA,Bandhan-HCF-D0233,D0233,Closed
IIFL Finance Limited,PTC,Indian-BL-D0234,D0234,Closed
IIFL Finance Limited,PTC,Bandhan-SME-D0235,D0235,Active
IIFL Finance Limited,DA,RBL-SME-D0236,D0236,Active
IIFL Finance Limited,PTC,AU-MFI-D0237,D0237,Active
IIFL Finance Limited,DA,Federal-SME-D0238,D0238,Active
IIFL Finance Limited,PTC,UCO-SME-D0239,D0239,Active
IIFL Finance Limited,DA,RBL-MFI-D0240,D0240,Active
IIFL Finance Limited,PTC,Bandhan-BL-D0241,D0241,Active
IIFL Finance Limited,PTC,South-SME-D0242,D0242,Active
IIFL Finance Limited,PTC,IDBI-Gold-D0243,D0243,Active
IIFL Finance Limited,DA,Aditya-Gold-D0244,D0244,Active
IIFL Finance Limited,PTC,Punjab-SME-D0245,D0245,Closed
IIFL Finance Limited,PTC,AU-BL-D0246,D0246,Active
IIFL Finance Limited,DA,Federal-LAP-D0247,D0247,Active
IIFL Finance Limited,DA,Federal-LAP-D0248,D0248,Active
IIFL Finance Limited,DA,Bank-HCF-D0249,D0249,Active
IIFL Finance Limited,DA,Karur-HCF-D0250,D0250,Active
IIFL Finance Limited,PTC,Bank-HCF-D0251,D0251,Closed
IIFL Finance Limited,DA,Indian-LAP-D0252,D0252,Closed
IIFL Finance Limited,DA,Indian-SME-D0253,D0253,Active
IIFL Finance Limited,PTC,IDBI-SME-D0254,D0254,Active
IIFL Finance Limited,PTC,Federal-MFI-D0255,D0255,Closed
IIFL Finance Limited,DA,RBL-MFI-D0256,D0256,Closed
IIFL Finance Limited,PTC,South-HCF-D0257,D0257,Closed
IIFL Finance Limited,PTC,Federal-SME-D0258,D0258,Active
IIFL Finance Limited,DA,RBL-Gold-D0259,D0259,Active
IIFL Finance Limited,PTC,Aditya-Gold-D0260,D0260,Closed
IIFL Finance Limited,DA,UCO-Gold-D0261,D0261,Active
IIFL Finance Limited,PTC,DCB-MFI-D0262,D0262,Closed
IIFL Finance Limited,DA,Indian-LAP-D0263,D0263,Active
IIFL Finance Limited,PTC,Indian-SME-D0264,D0264,Active
IIFL Finance Limited,PTC,Bandhan-HCF-D0265,D0265,Closed
IIFL Finance Limited,DA,Bank-HCF-D0266,D0266,Active
IIFL Finance Limited,DA,RBL-LAP-D0267,D0267,Active
IIFL Finance Limited,PTC,Central-LAP-D0268,D0268,Active
IIFL Finance Limited,DA,South-BL-D0269,D0269,Closed
IIFL Finance Limited,PTC,IDBI-MFI-D0270,D0270,Active
IIFL Finance Limited,DA,Central-MFI-D0271,D0271,Closed
IIFL Finance Limited,DA,RBL-BL-D0272,D0272,Active
IIFL Finance Limited,DA,Punjab-MFI-D0273,D0273,Active
IIFL Finance Limited,DA,Central-Gold-D0274,D0274,Active
IIFL Finance Limited,PTC,Bank-MFI-D0275,D0275,Active
IIFL Finance Limited,PTC,Federal-HCF-D0276,D0276,Active
IIFL Finance Limited,PTC,AU-Gold-D0277,D0277,Active
IIFL Finance Limited,PTC,Aditya-HCF-D0278,D0278,Active
IIFL Finance Limited,PTC,Bank-MFI-D0279,D0279,Active
IIFL Finance Limited,DA,South-SME-D0280,D0280,Active
IIFL Finance Limited,DA,UCO-SME-D0281,D0281,Closed
IIFL Finance Limited,PTC,Bandhan-BL-D0282,D0282,Active
IIFL Finance Limited,PTC,Indian-SME-D0283,D0283,Active
IIFL Finance Limited,DA,Aditya-MFI-D0284,D0284,Active
IIFL Finance Limited,DA,Karur-LAP-D0285,D0285,Closed
IIFL Finance Limited,PTC,AU-MFI-D0286,D0286,Active
IIFL Finance Limited,PTC,Central-SME-D0287,D0287,Active
IIFL Finance Limited,PTC,Central-HCF-D0288,D0288,Active
IIFL Finance Limited,PTC,South-HCF-D0289,D0289,Active
IIFL Finance Limited,DA,UCO-SME-D0290,D0290,Active
IIFL Samasta Finance,PTC,Federal-BL-D0291,D0291,Active
IIFL Finance Limited,DA,Federal-Gold-D0292,D0292,Active
IIFL Samasta Finance,DA,Karur-Gold-D0293,D0293,Closed
IIFL Finance Limited,DA,Indian-MFI-D0294,D0294,Active
IIFL Finance Limited,PTC,Indian-LAP-D0295,D0295,Closed
IIFL Finance Limited,PTC,South-LAP-D0296,D0296,Active
IIFL Finance Limited,PTC,Aditya-SME-D0297,D0297,Active
IIFL Finance Limited,DA,Aditya-SME-D0298,D0298,Closed
IIFL Finance Limited,DA,Aditya-SME-D0299,D0299,Closed
IIFL Finance Limited,DA,South-SME-D0300,D0300,Closed
