deal_id,month,pos_0dpd,pos_1_30dpd,pos_31_60dpd,pos_61_90dpd,pos_90plus_dpd,cumulative_default_amount
D0003,2026-05-01,83.04,1.26,0.0,0.0,0.0,0.0
D0003,2026-06-01,88.05,1.64,0.3,0.0,0.0,0.0
D0003,2026-07-01,81.08,1.57,0.45,0.06,0.0,0.0
D0004,2024-04-01,270.99,12.77,0.0,0.0,0.0,0.0
D0004,2024-05-01,252.09,16.71,5.18,0.0,0.0,0.0
D0004,2024-06-01,208.33,15.38,8.2,1.86,0.0,0.0
D0004,2024-07-01,192.63,14.77,10.05,4.12,0.85,0.0
D0004,2024-08-01,183.73,14.27,10.99,6.07,2.68,0.08
D0004,2024-09-01,184.95,14.41,11.84,7.76,5.49,0.36
D0004,2024-10-01,154.88,12.05,10.24,7.44,7.42,0.83
D0004,2024-11-01,159.97,12.41,10.72,8.29,10.79,1.61
D0004,2024-12-01,153.58,11.88,10.33,8.28,13.37,2.66
D0004,2025-01-01,128.67,9.92,8.63,7.07,13.61,3.8
D0004,2025-02-01,133.73,10.27,8.93,7.39,16.47,5.23
D0004,2025-03-01,116.28,8.91,7.72,6.42,16.16,6.68
D0004,2025-04-01,113.89,8.7,7.52,6.26,17.43,8.28
D0004,2025-05-01,102.12,7.78,6.7,5.57,16.9,9.86
D0004,2025-06-01,106.94,8.13,6.98,5.79,18.87,11.64
D0004,2025-07-01,99.64,7.56,6.48,5.36,18.53,13.41
D0004,2025-08-01,90.55,6.86,5.86,4.83,17.59,15.1
D0004,2025-09-01,85.43,6.46,5.51,4.53,17.2,16.77
D0004,2025-10-01,82.0,6.2,5.27,4.33,17.02,18.43
D0004,2025-11-01,76.09,5.74,4.88,3.99,16.19,20.01
D0004,2025-12-01,68.95,5.2,4.41,3.6,14.99,21.48
D0004,2026-01-01,69.95,5.27,4.46,3.64,15.48,23.01
D0004,2026-02-01,60.02,4.52,3.82,3.12,13.48,24.34
D0004,2026-03-01,57.73,4.34,3.67,2.99,13.13,25.64
D0004,2026-04-01,59.33,4.46,3.77,3.06,13.64,26.99
D0004,2026-05-01,54.88,4.13,3.48,2.83,12.73,28.25
D0004,2026-06-01,50.8,3.82,3.22,2.61,11.88,29.43
D0004,2026-07-01,49.17,3.69,3.11,2.52,11.57,30.58
D0005,2025-10-01,360.11,5.48,0.0,0.0,0.0,0.0
D0005,2025-11-01,354.56,6.6,1.2,0.0,0.0,0.0
D0005,2025-12-01,304.93,5.9,1.7,0.23,0.0,0.0
D0005,2026-01-01,321.61,6.27,2.14,0.53,0.07,0.0
D0005,2026-02-01,278.13,5.43,1.99,0.67,0.18,0.0
D0005,2026-04-01,266.05,5.19,1.97,0.79,0.35,0.01
D0005,2026-05-01,270.59,5.28,2.02,0.9,0.56,0.03
D0005,2026-06-01,250.75,4.89,1.88,0.89,0.73,0.06
D0005,2026-07-01,235.0,4.58,1.77,0.86,0.88,0.09
D0006,2024-06-01,83.49,1.27,0.0,0.0,0.0,0.0
D0006,2024-07-01,91.01,1.7,0.31,0.0,0.0,0.0
D0006,2024-08-01,83.35,1.61,0.46,0.06,0.0,0.0
D0006,2024-09-01,77.61,1.51,0.52,0.13,0.02,0.0
D0006,2024-10-01,84.34,1.65,0.6,0.2,0.06,0.0
D0006,2024-11-01,74.11,1.45,0.55,0.22,0.1,0.0
D0006,2024-12-01,78.27,1.53,0.59,0.26,0.16,0.01
D0006,2025-01-01,71.55,1.4,0.54,0.25,0.21,0.02
D0006,2025-02-01,68.72,1.34,0.52,0.25,0.26,0.03
D0006,2025-03-01,71.13,1.39,0.54,0.27,0.33,0.04
D0006,2025-04-01,63.57,1.24,0.48,0.24,0.34,0.05
D0006,2025-05-01,66.15,1.29,0.5,0.25,0.41,0.07
D0006,2025-06-01,64.57,1.26,0.49,0.25,0.45,0.09
D0006,2025-07-01,64.09,1.25,0.48,0.25,0.49,0.11
D0006,2025-08-01,59.19,1.15,0.45,0.23,0.5,0.14
D0006,2025-09-01,60.63,1.18,0.46,0.23,0.55,0.16
D0006,2025-10-01,57.91,1.13,0.44,0.22,0.56,0.19
D0006,2025-11-01,52.26,1.02,0.39,0.2,0.54,0.21
D0006,2025-12-01,52.75,1.03,0.4,0.2,0.57,0.24
D0006,2026-01-01,48.4,0.94,0.36,0.19,0.55,0.27
D0006,2026-02-01,47.96,0.93,0.36,0.19,0.57,0.3
D0006,2026-03-01,50.05,0.98,0.38,0.19,0.62,0.33
D0006,2026-04-01,49.52,0.97,0.37,0.19,0.64,0.36
D0006,2026-05-01,48.62,0.95,0.37,0.19,0.65,0.39
D0006,2026-06-01,41.84,0.82,0.32,0.16,0.58,0.42
D0006,2026-07-01,42.8,0.83,0.32,0.17,0.61,0.44
D0007,2025-09-01,23.63,1.11,0.0,0.0,0.0,0.0
D0007,2025-10-01,19.97,1.32,0.41,0.0,0.0,0.0
D0007,2025-11-01,18.26,1.35,0.72,0.16,0.0,0.0
D0007,2025-12-01,17.61,1.35,0.92,0.38,0.08,0.0
D0007,2026-01-01,16.24,1.26,0.97,0.54,0.24,0.01
D0007,2026-02-01,14.43,1.12,0.92,0.61,0.43,0.03
D0007,2026-03-01,12.74,0.99,0.84,0.61,0.61,0.07
D0007,2026-04-01,11.94,0.93,0.8,0.62,0.81,0.13
D0007,2026-05-01,12.24,0.95,0.82,0.66,1.07,0.21
D0007,2026-06-01,11.35,0.87,0.76,0.62,1.2,0.31
D0007,2026-07-01,11.13,0.86,0.74,0.62,1.37,0.43
D0008,2024-09-01,319.76,4.87,0.0,0.0,0.0,0.0
D0008,2024-10-01,335.98,6.26,1.13,0.0,0.0,0.0
D0008,2024-12-01,310.53,6.01,1.73,0.23,0.0,0.0
D0008,2025-01-01,305.82,5.96,2.04,0.51,0.06,0.0
D0008,2025-02-01,291.93,5.7,2.09,0.7,0.19,0.0
D0008,2025-03-01,280.46,5.47,2.07,0.83,0.37,0.01
D0008,2025-04-01,270.64,5.28,2.02,0.9,0.56,0.03
D0008,2025-05-01,243.53,4.75,1.83,0.86,0.71,0.06
D0008,2025-06-01,264.98,5.17,2.0,0.97,0.99,0.09
D0008,2025-07-01,258.91,5.05,1.95,0.97,1.19,0.14
D0008,2025-09-01,225.95,4.41,1.7,0.86,1.22,0.19
D0008,2025-10-01,214.51,4.18,1.62,0.82,1.33,0.25
D0008,2025-12-01,209.88,4.09,1.58,0.81,1.47,0.32
D0008,2026-01-01,195.02,3.8,1.47,0.75,1.5,0.39
D0008,2026-02-01,183.13,3.57,1.38,0.71,1.54,0.46
D0008,2026-03-01,170.22,3.32,1.28,0.66,1.55,0.53
D0008,2026-04-01,163.28,3.18,1.23,0.63,1.59,0.6
D0008,2026-05-01,176.08,3.43,1.33,0.68,1.82,0.69
D0008,2026-06-01,148.77,2.9,1.12,0.57,1.62,0.76
D0008,2026-07-01,157.22,3.06,1.18,0.61,1.8,0.85
D0009,2025-03-01,253.81,3.87,0.0,0.0,0.0,0.0
D0009,2025-04-01,226.71,4.22,0.76,0.0,0.0,0.0
D0009,2025-05-01,240.69,4.66,1.34,0.18,0.0,0.0
D0009,2025-06-01,236.0,4.6,1.57,0.39,0.05,0.0
D0009,2025-07-01,208.5,4.07,1.49,0.5,0.14,0.0
D0009,2025-08-01,222.04,4.33,1.64,0.66,0.29,0.01
D0009,2025-09-01,201.07,3.92,1.5,0.67,0.42,0.02
D0010,2026-02-01,151.27,2.3,0.0,0.0,0.0,0.0
D0010,2026-03-01,155.42,2.89,0.52,0.0,0.0,0.0
D0010,2026-04-01,134.92,2.61,0.75,0.1,0.0,0.0
D0010,2026-05-01,129.34,2.52,0.86,0.21,0.03,0.0
D0010,2026-06-01,116.72,2.28,0.84,0.28,0.08,0.0
D0010,2026-07-01,110.0,2.15,0.81,0.33,0.14,0.0
D0011,2024-07-01,129.23,1.97,0.0,0.0,0.0,0.0
D0011,2024-08-01,131.47,2.45,0.44,0.0,0.0,0.0
D0011,2024-09-01,114.96,2.22,0.64,0.09,0.0,0.0
D0011,2024-10-01,120.13,2.34,0.8,0.2,0.03,0.0
D0011,2024-11-01,105.67,2.06,0.76,0.25,0.07,0.0
D0011,2024-12-01,100.68,1.96,0.74,0.3,0.13,0.0
D0011,2025-01-01,103.01,2.01,0.77,0.34,0.21,0.01
D0011,2025-02-01,94.21,1.84,0.71,0.33,0.27,0.02
D0011,2025-03-01,83.34,1.63,0.63,0.31,0.31,0.03
D0011,2025-04-01,76.7,1.5,0.58,0.29,0.35,0.05
D0011,2025-05-01,81.04,1.58,0.61,0.31,0.44,0.07
D0011,2025-06-01,70.66,1.38,0.53,0.27,0.44,0.09
D0011,2025-07-01,70.71,1.38,0.53,0.27,0.49,0.11
D0011,2025-08-01,61.79,1.2,0.47,0.24,0.48,0.13
D0011,2025-09-01,66.23,1.29,0.5,0.26,0.56,0.15
D0011,2025-10-01,57.54,1.12,0.43,0.22,0.52,0.18
D0011,2025-11-01,60.75,1.18,0.46,0.23,0.59,0.21
D0011,2025-12-01,51.25,1.0,0.39,0.2,0.53,0.23
D0011,2026-01-01,49.79,0.97,0.38,0.19,0.54,0.26
D0011,2026-02-01,48.62,0.95,0.37,0.19,0.56,0.28
D0011,2026-03-01,44.58,0.87,0.34,0.17,0.53,0.31
D0011,2026-04-01,44.38,0.87,0.33,0.17,0.55,0.34
D0011,2026-05-01,41.11,0.8,0.31,0.16,0.53,0.36
D0011,2026-06-01,40.0,0.78,0.3,0.15,0.53,0.39
D0011,2026-07-01,37.94,0.74,0.29,0.15,0.52,0.41
D0012,2025-10-01,199.62,3.04,0.0,0.0,0.0,0.0
D0012,2025-11-01,188.07,3.5,0.63,0.0,0.0,0.0
D0012,2025-12-01,177.75,3.44,0.99,0.13,0.0,0.0
D0012,2026-01-01,162.43,3.17,1.08,0.27,0.03,0.0
D0012,2026-02-01,160.92,3.14,1.15,0.39,0.11,0.0
D0012,2026-04-01,140.66,2.74,1.04,0.42,0.18,0.01
D0012,2026-05-01,136.06,2.65,1.02,0.45,0.28,0.02
D0012,2026-06-01,124.37,2.43,0.93,0.44,0.36,0.03
D0012,2026-07-01,125.6,2.45,0.95,0.46,0.47,0.05
D0013,2025-01-01,166.63,2.54,0.0,0.0,0.0,0.0
D0013,2025-02-01,169.56,3.16,0.57,0.0,0.0,0.0
D0013,2025-03-01,156.19,3.02,0.87,0.12,0.0,0.0
D0013,2025-04-01,148.06,2.89,0.99,0.24,0.03,0.0
D0013,2025-05-01,129.16,2.52,0.93,0.31,0.09,0.0
D0013,2025-06-01,127.76,2.49,0.94,0.38,0.17,0.01
D0013,2025-07-01,124.3,2.43,0.93,0.41,0.26,0.01
D0013,2025-08-01,122.69,2.39,0.92,0.43,0.36,0.03
D0013,2025-09-01,112.35,2.19,0.85,0.41,0.42,0.04
D0013,2025-10-01,103.1,2.01,0.78,0.39,0.47,0.06
D0013,2025-11-01,93.15,1.82,0.7,0.35,0.5,0.08
D0013,2025-12-01,90.86,1.77,0.68,0.35,0.56,0.11
D0013,2026-01-01,87.51,1.71,0.66,0.34,0.61,0.14
D0013,2026-02-01,80.17,1.56,0.6,0.31,0.62,0.16
D0013,2026-03-01,75.49,1.47,0.57,0.29,0.64,0.19
D0013,2026-04-01,68.53,1.34,0.52,0.26,0.62,0.22
D0013,2026-05-01,66.98,1.31,0.5,0.26,0.65,0.25
D0014,2025-12-01,286.74,4.37,0.0,0.0,0.0,0.0
D0014,2026-01-01,266.83,4.97,0.9,0.0,0.0,0.0
D0014,2026-02-01,260.14,5.03,1.45,0.19,0.0,0.0
D0014,2026-03-01,254.89,4.97,1.7,0.42,0.05,0.0
D0014,2026-04-01,226.97,4.43,1.63,0.55,0.15,0.0
D0014,2026-06-01,223.35,4.36,1.65,0.66,0.29,0.01
D0014,2026-07-01,211.59,4.13,1.58,0.7,0.44,0.02
D0015,2025-01-01,67.5,3.18,0.0,0.0,0.0,0.0
D0015,2025-02-01,58.16,3.85,1.19,0.0,0.0,0.0
D0015,2025-03-01,56.04,4.14,2.2,0.5,0.0,0.0
D0015,2025-04-01,55.48,4.26,2.89,1.19,0.24,0.0
D0015,2025-05-01,49.02,3.81,2.93,1.62,0.72,0.02
D0015,2025-06-01,48.39,3.77,3.1,2.03,1.44,0.09
D0015,2025-07-01,44.76,3.48,2.96,2.15,2.14,0.23
D0015,2025-08-01,43.25,3.36,2.9,2.24,2.92,0.44
D0015,2025-09-01,39.13,3.03,2.63,2.11,3.41,0.71
D0015,2025-10-01,40.41,3.11,2.71,2.22,4.28,1.07
D0015,2025-11-01,36.93,2.84,2.47,2.04,4.55,1.46
D0015,2025-12-01,33.92,2.6,2.25,1.87,4.71,1.89
D0015,2026-01-01,30.63,2.34,2.02,1.68,4.69,2.32
D0015,2026-02-01,31.02,2.36,2.04,1.69,5.14,2.79
D0015,2026-03-01,29.84,2.27,1.95,1.62,5.27,3.29
D0015,2026-04-01,30.25,2.3,1.97,1.63,5.63,3.83
D0015,2026-06-01,25.21,1.91,1.63,1.35,4.9,4.3
D0016,2025-08-01,249.86,3.8,0.0,0.0,0.0,0.0
D0016,2025-09-01,249.95,4.66,0.84,0.0,0.0,0.0
D0016,2025-10-01,247.32,4.79,1.38,0.18,0.0,0.0
D0016,2025-11-01,247.76,4.83,1.65,0.41,0.05,0.0
D0016,2025-12-01,217.9,4.25,1.56,0.53,0.14,0.0
D0016,2026-01-01,229.35,4.48,1.69,0.68,0.3,0.01
D0016,2026-02-01,217.32,4.24,1.63,0.72,0.45,0.02
D0016,2026-03-01,211.31,4.12,1.59,0.75,0.61,0.05
D0016,2026-04-01,205.75,4.01,1.55,0.76,0.77,0.08
D0016,2026-05-01,203.45,3.97,1.53,0.76,0.93,0.11
D0016,2026-06-01,186.04,3.63,1.4,0.71,1.01,0.16
D0016,2026-07-01,198.06,3.86,1.49,0.76,1.23,0.21
D0017,2025-12-01,292.97,4.46,0.0,0.0,0.0,0.0
D0017,2026-01-01,288.96,5.38,0.97,0.0,0.0,0.0
D0017,2026-02-01,255.07,4.94,1.42,0.19,0.0,0.0
D0017,2026-03-01,268.07,5.23,1.79,0.44,0.06,0.0
D0017,2026-04-01,259.08,5.06,1.86,0.63,0.17,0.0
D0017,2026-05-01,242.62,4.73,1.79,0.72,0.32,0.01
D0017,2026-06-01,233.22,4.55,1.74,0.77,0.48,0.03
D0017,2026-07-01,218.33,4.26,1.64,0.77,0.63,0.05
D0018,2026-01-01,119.36,5.62,0.0,0.0,0.0,0.0
D0018,2026-02-01,114.44,7.58,2.35,0.0,0.0,0.0
D0018,2026-03-01,109.59,8.09,4.31,0.98,0.0,0.0
D0018,2026-04-01,100.76,7.73,5.25,2.16,0.44,0.0
D0018,2026-05-01,83.4,6.48,4.99,2.75,1.22,0.04
D0018,2026-06-01,80.2,6.25,5.14,3.37,2.38,0.16
D0018,2026-07-01,71.68,5.58,4.74,3.44,3.43,0.38
D0019,2025-02-01,294.08,13.86,0.0,0.0,0.0,0.0
D0019,2025-03-01,292.54,19.39,6.01,0.0,0.0,0.0
D0019,2025-04-01,254.06,18.76,9.99,2.26,0.0,0.0
D0019,2025-05-01,244.73,18.77,12.76,5.24,1.08,0.0
D0019,2025-06-01,239.79,18.63,14.35,7.92,3.5,0.11
D0019,2025-07-01,231.82,18.06,14.85,9.73,6.88,0.46
D0019,2025-08-01,214.54,16.69,14.19,10.31,10.27,1.11
D0019,2025-09-01,189.66,14.72,12.71,9.83,12.79,2.03
D0019,2025-10-01,170.44,13.18,11.46,9.19,14.84,3.2
D0019,2025-11-01,177.36,13.67,11.9,9.74,18.76,4.77
D0019,2025-12-01,150.57,11.57,10.06,8.32,18.55,6.38
D0019,2026-01-01,160.68,12.31,10.67,8.87,22.33,8.38
D0019,2026-02-01,145.34,11.1,9.6,7.98,22.25,10.42
D0019,2026-03-01,143.05,10.9,9.39,7.8,23.68,12.63
D0019,2026-04-01,139.58,10.61,9.12,7.56,24.63,14.96
D0019,2026-05-01,122.16,9.27,7.94,6.57,22.72,17.13
D0019,2026-06-01,120.31,9.12,7.79,6.42,23.37,19.38
D0019,2026-07-01,110.14,8.33,7.1,5.84,22.18,21.53
D0020,2025-01-01,81.09,3.82,0.0,0.0,0.0,0.0
D0020,2025-02-01,68.87,4.56,1.41,0.0,0.0,0.0
D0020,2025-03-01,66.25,4.89,2.61,0.59,0.0,0.0
D0020,2025-04-01,62.76,4.81,3.27,1.34,0.28,0.0
D0020,2025-05-01,56.27,4.37,3.37,1.86,0.82,0.03
D0020,2025-06-01,58.44,4.55,3.74,2.45,1.74,0.11
D0020,2025-07-01,56.82,4.42,3.76,2.73,2.72,0.29
D0020,2025-08-01,51.88,4.03,3.48,2.69,3.5,0.54
D0020,2025-09-01,46.61,3.6,3.13,2.51,4.06,0.86
D0020,2025-10-01,52.71,1.63,2.28,2.26,4.85,1.07
D0020,2025-11-01,48.77,1.05,1.2,1.61,4.71,1.29
D0020,2025-12-01,46.45,0.91,0.7,1.11,4.62,1.51
D0020,2026-01-01,48.14,0.93,0.52,0.81,4.83,1.75
D0020,2026-02-01,43.66,0.84,0.38,0.52,4.33,1.97
D0020,2026-03-01,47.65,0.92,0.38,0.41,4.63,2.2
D0021,2024-12-01,208.25,3.17,0.0,0.0,0.0,0.0
D0021,2025-01-01,198.72,3.7,0.67,0.0,0.0,0.0
D0021,2025-02-01,195.79,3.79,1.09,0.15,0.0,0.0
D0021,2025-03-01,187.49,3.66,1.25,0.31,0.04,0.0
D0021,2025-04-01,165.78,3.24,1.19,0.4,0.11,0.0
D0021,2025-05-01,152.85,2.98,1.13,0.45,0.2,0.01
D0021,2025-06-01,149.08,2.91,1.11,0.49,0.31,0.02
D0021,2025-07-01,140.58,2.74,1.06,0.5,0.41,0.03
D0021,2025-08-01,129.39,2.52,0.97,0.48,0.49,0.05
D0021,2025-09-01,128.94,2.51,0.97,0.48,0.59,0.07
D0021,2025-10-01,125.34,2.44,0.94,0.48,0.68,0.1
D0021,2025-11-01,107.76,2.1,0.81,0.41,0.67,0.13
D0021,2025-12-01,111.45,2.17,0.84,0.43,0.78,0.17
D0021,2026-01-01,93.84,1.83,0.71,0.36,0.72,0.2
D0021,2026-02-01,97.04,1.89,0.73,0.37,0.82,0.24
D0021,2026-03-01,92.2,1.8,0.69,0.36,0.84,0.28
D0021,2026-04-01,80.95,1.58,0.61,0.31,0.79,0.31
D0021,2026-05-01,78.53,1.53,0.59,0.3,0.81,0.35
D0021,2026-06-01,72.9,1.42,0.55,0.28,0.79,0.39
D0021,2026-07-01,70.44,1.37,0.53,0.27,0.8,0.43
D0022,2024-11-01,112.18,1.71,0.0,0.0,0.0,0.0
D0022,2024-12-01,110.31,2.05,0.37,0.0,0.0,0.0
D0022,2025-01-01,99.4,1.92,0.55,0.07,0.0,0.0
D0022,2025-02-01,97.43,1.9,0.65,0.16,0.02,0.0
D0022,2025-03-01,95.0,1.85,0.68,0.23,0.06,0.0
D0022,2025-04-01,90.14,1.76,0.67,0.27,0.12,0.0
D0022,2025-05-01,79.78,1.56,0.6,0.26,0.17,0.01
D0022,2025-06-01,81.4,1.59,0.61,0.29,0.24,0.02
D0022,2025-07-01,72.67,1.42,0.55,0.27,0.27,0.03
D0022,2025-08-01,72.22,1.41,0.54,0.27,0.33,0.04
D0022,2025-09-01,63.44,1.24,0.48,0.24,0.34,0.06
D0022,2025-10-01,60.95,1.19,0.46,0.23,0.38,0.07
D0022,2025-11-01,65.53,1.28,0.49,0.25,0.46,0.09
D0022,2025-12-01,59.6,1.16,0.45,0.23,0.46,0.11
D0022,2026-01-01,55.82,1.09,0.42,0.22,0.47,0.14
D0022,2026-02-01,53.13,1.04,0.4,0.2,0.48,0.16
D0022,2026-03-01,49.31,0.96,0.37,0.19,0.48,0.18
D0022,2026-04-01,47.08,0.92,0.35,0.18,0.49,0.2
D0022,2026-05-01,46.87,0.91,0.35,0.18,0.51,0.23
D0022,2026-06-01,44.4,0.87,0.33,0.17,0.51,0.25
D0022,2026-07-01,42.89,0.84,0.32,0.17,0.51,0.28
D0023,2025-06-01,234.56,3.57,0.0,0.0,0.0,0.0
D0023,2025-07-01,196.43,3.66,0.66,0.0,0.0,0.0
D0023,2025-08-01,194.88,3.77,1.09,0.15,0.0,0.0
D0023,2025-09-01,192.31,3.75,1.28,0.32,0.04,0.0
D0023,2025-10-01,181.04,3.53,1.3,0.44,0.12,0.0
D0023,2025-11-01,181.0,3.53,1.34,0.54,0.24,0.01
D0023,2025-12-01,173.52,3.39,1.3,0.58,0.36,0.02
D0023,2026-01-01,159.74,3.12,1.2,0.57,0.46,0.04
D0023,2026-02-01,164.77,3.21,1.24,0.61,0.62,0.06
D0023,2026-03-01,143.08,2.79,1.08,0.54,0.66,0.09
D0023,2026-04-01,143.72,2.8,1.08,0.55,0.78,0.12
D0023,2026-05-01,138.03,2.69,1.04,0.53,0.86,0.16
D0023,2026-06-01,126.38,2.46,0.95,0.49,0.88,0.2
D0023,2026-07-01,119.85,2.34,0.9,0.46,0.92,0.24
D0024,2025-02-01,46.22,0.7,0.0,0.0,0.0,0.0
D0024,2025-03-01,45.79,0.85,0.15,0.0,0.0,0.0
D0024,2025-04-01,40.46,0.78,0.23,0.03,0.0,0.0
D0024,2025-05-01,39.8,0.78,0.27,0.07,0.01,0.0
D0024,2025-06-01,42.44,0.83,0.3,0.1,0.03,0.0
D0024,2025-07-01,41.11,0.8,0.3,0.12,0.05,0.0
D0024,2025-08-01,35.78,0.7,0.27,0.12,0.07,0.0
D0024,2025-09-01,37.81,0.74,0.28,0.13,0.11,0.01
D0024,2025-10-01,36.59,0.71,0.28,0.13,0.14,0.01
D0024,2025-11-01,33.87,0.66,0.26,0.13,0.16,0.02
D0024,2026-01-01,34.19,0.67,0.26,0.13,0.19,0.03
D0024,2026-02-01,34.19,0.67,0.26,0.13,0.21,0.04
D0024,2026-03-01,30.6,0.6,0.23,0.12,0.21,0.05
D0024,2026-04-01,30.06,0.59,0.23,0.12,0.23,0.06
D0024,2026-05-01,27.64,0.54,0.21,0.11,0.23,0.07
D0024,2026-06-01,28.9,0.56,0.22,0.11,0.26,0.08
D0025,2025-05-01,175.16,2.67,0.0,0.0,0.0,0.0
D0025,2025-06-01,154.39,2.88,0.52,0.0,0.0,0.0
D0025,2025-08-01,161.15,3.12,0.9,0.12,0.0,0.0
D0025,2025-09-01,146.4,2.85,0.98,0.24,0.03,0.0
D0025,2025-10-01,137.01,2.67,0.98,0.33,0.09,0.0
D0025,2025-11-01,133.92,2.61,0.99,0.4,0.18,0.01
D0025,2025-12-01,129.43,2.53,0.97,0.43,0.27,0.01
D0025,2026-01-01,122.73,2.39,0.92,0.43,0.36,0.03
D0025,2026-02-01,127.99,2.5,0.96,0.47,0.48,0.05
D0025,2026-03-01,111.61,2.18,0.84,0.42,0.51,0.07
D0025,2026-04-01,102.74,2.0,0.77,0.39,0.56,0.09
D0025,2026-05-01,109.36,2.13,0.82,0.42,0.68,0.12
D0025,2026-06-01,108.57,2.12,0.82,0.42,0.76,0.15
D0025,2026-07-01,91.31,1.78,0.69,0.35,0.7,0.19
D0026,2025-02-01,360.1,5.48,0.0,0.0,0.0,0.0
D0026,2025-03-01,325.25,6.06,1.1,0.0,0.0,0.0
D0026,2025-04-01,316.21,6.12,1.76,0.24,0.0,0.0
D0026,2025-05-01,300.33,5.86,2.0,0.5,0.06,0.0
D0026,2025-06-01,267.34,5.22,1.92,0.65,0.18,0.0
D0026,2025-07-01,243.99,4.76,1.8,0.72,0.32,0.01
D0026,2025-08-01,242.52,4.73,1.81,0.8,0.5,0.03
D0026,2025-09-01,242.85,4.74,1.83,0.86,0.7,0.05
D0026,2025-10-01,226.52,4.42,1.71,0.83,0.85,0.08
D0026,2025-11-01,194.62,3.8,1.47,0.73,0.89,0.12
D0026,2025-12-01,189.52,3.7,1.43,0.72,1.03,0.16
D0026,2026-01-01,187.58,3.66,1.41,0.72,1.17,0.22
D0026,2026-02-01,178.34,3.48,1.34,0.69,1.25,0.27
D0026,2026-03-01,156.85,3.06,1.18,0.6,1.21,0.33
D0026,2026-04-01,149.49,2.91,1.13,0.58,1.26,0.38
D0026,2026-05-01,149.89,2.92,1.13,0.58,1.36,0.45
D0026,2026-06-01,132.29,2.58,1.0,0.51,1.28,0.51
D0026,2026-07-01,132.12,2.58,1.0,0.51,1.36,0.57
D0027,2024-06-01,213.11,3.25,0.0,0.0,0.0,0.0
D0027,2024-07-01,220.93,4.12,0.75,0.0,0.0,0.0
D0027,2024-08-01,209.6,4.06,1.17,0.16,0.0,0.0
D0027,2024-09-01,185.11,3.61,1.23,0.31,0.04,0.0
D0027,2024-10-01,170.53,3.33,1.22,0.41,0.11,0.0
D0027,2024-11-01,173.96,3.39,1.28,0.51,0.23,0.01
D0027,2024-12-01,154.02,3.01,1.15,0.51,0.32,0.02
D0027,2025-01-01,142.24,2.77,1.07,0.5,0.41,0.03
D0027,2025-02-01,144.65,2.82,1.09,0.53,0.54,0.05
D0027,2025-03-01,127.72,2.49,0.96,0.48,0.59,0.08
D0027,2025-04-01,133.89,2.61,1.01,0.51,0.73,0.11
D0027,2025-05-01,110.97,2.16,0.84,0.42,0.69,0.14
D0027,2025-06-01,107.89,2.1,0.81,0.41,0.75,0.17
