deal_id,month,total_pool_outstanding,closing_pos_investor_share,total_bank_payout,total_principal_payout,scheduled_principal_payout,npa_amount,mclr,roi,investor_share_x_roi,data_status
D0002,2025-07-01,172.76,170.59,1.72,9.36,6.44,0.0,8.944,12.1224,20.68,Available
D0002,2025-08-01,177.63,160.96,1.47,9.63,6.11,0.0,8.3361,10.967,17.65,Available
D0002,2025-09-01,165.72,153.81,1.47,7.15,5.76,0.0,8.5461,11.4492,17.61,Available
D0002,2025-10-01,158.85,145.17,1.27,8.64,5.51,0.0,8.7007,10.5103,15.26,Available
D0002,2025-11-01,140.22,137.07,1.28,8.1,5.2,0.0,9.5786,11.2129,15.37,Available
D0002,2025-12-01,137.85,130.22,1.35,6.85,4.91,0.0,9.9307,12.4423,16.2,Available
D0002,2026-01-01,128.96,124.11,1.31,6.11,4.66,0.0,9.5101,12.7056,15.77,Available
D0002,2026-02-01,120.56,118.05,1.1,6.06,4.44,0.0,9.6875,11.2308,13.26,Available
D0002,2026-03-01,117.5,112.61,1.13,5.44,4.23,0.0,9.5793,12.0402,13.56,Available
D0002,2026-04-01,114.32,106.88,1.1,5.73,4.03,0.0,9.2084,12.3081,13.15,Available
D0002,2026-05-01,102.61,102.09,1.01,4.79,3.83,0.0,9.2011,11.8622,12.11,Available
D0002,2026-06-01,103.46,96.8,1.05,5.29,3.65,1.03,9.7014,12.9662,12.55,Available
D0002,2026-07-01,,,,,,,,,,Missing
D0003,2026-05-01,84.3,82.57,0.8,3.66,3.08,0.0,8.391,11.6083,9.58,Available
D0003,2026-06-01,89.99,78.64,0.66,3.93,2.95,0.0,7.6313,10.0988,7.94,Available
D0003,2026-07-01,83.16,75.28,0.63,3.36,2.81,0.0,7.9922,10.0107,7.54,Available
D0004,2024-04-01,283.76,258.01,2.38,14.47,10.26,0.0,9.1042,11.0676,28.56,Available
D0004,2024-05-01,273.97,244.76,2.52,13.25,9.72,0.0,9.0265,12.361,30.25,Available
D0004,2024-06-01,233.76,231.61,2.31,13.15,9.22,0.0,8.6234,11.9682,27.72,Available
D0004,2024-07-01,222.42,221.44,2.32,10.17,8.72,0.0,9.8214,12.584,27.87,Available
D0004,2024-08-01,217.75,211.54,2.1,9.9,8.34,0.0,9.2952,11.9081,25.19,Available
D0004,2024-09-01,224.45,200.67,2.05,10.87,7.97,0.0,9.7019,12.259,24.6,Available
D0004,2024-10-01,192.04,191.89,1.96,8.78,7.56,0.0,10.5035,12.2846,23.57,Available
D0004,2024-11-01,202.19,182.28,1.92,9.61,7.23,0.0,9.2053,12.6208,23.01,Available
D0004,2024-12-01,197.43,173.95,1.71,8.33,6.87,0.0,9.5683,11.7813,20.49,Available
D0004,2025-01-01,167.91,164.77,1.57,9.18,6.55,0.0,8.822,11.4603,18.88,Available
D0004,2025-02-01,176.8,157.41,1.45,7.36,6.21,0.0,9.4889,11.034,17.37,Available
D0004,2025-03-01,155.49,149.05,1.32,8.36,5.93,0.0,8.8251,10.6408,15.86,Available
D0004,2025-04-01,153.8,142.16,1.5,6.89,5.61,0.0,9.9455,12.6828,18.03,Available
D0004,2025-05-01,139.08,135.02,1.45,7.14,5.35,2.65,10.5055,12.8483,17.35,Available
D0004,2025-06-01,146.71,129.05,1.39,5.97,5.09,0.0,9.9108,12.9255,16.68,Available
D0004,2025-07-01,137.56,122.7,1.28,6.35,4.86,0.0,9.35,12.52,15.36,Available
D0004,2025-08-01,125.69,117.27,1.17,5.43,4.62,0.0,8.7113,11.9863,14.06,Available
D0004,2025-09-01,119.14,111.18,1.14,6.09,4.42,0.0,10.1195,12.32,13.7,Available
D0004,2025-10-01,114.81,105.21,0.96,5.97,4.19,0.08,9.0064,10.8987,11.47,Available
D0004,2025-11-01,106.9,96.72,0.93,8.49,3.96,0.0,9.8155,11.566,11.19,Available
D0004,2025-12-01,97.15,92.39,0.84,4.33,3.64,0.0,8.7629,10.9665,10.13,Available
D0004,2026-01-01,98.8,88.12,0.94,4.27,3.48,0.0,9.7439,12.749,11.23,Available
D0004,2026-02-01,84.96,84.24,0.82,3.88,3.32,0.0,10.0702,11.684,9.84,Available
D0004,2026-03-01,81.86,80.3,0.82,3.94,3.17,0.0,8.7892,12.2854,9.87,Available
D0004,2026-04-01,84.26,76.2,0.67,4.1,3.02,0.0,8.6933,10.605,8.08,Available
D0004,2026-05-01,78.05,72.09,0.73,4.11,2.87,0.0,9.9646,12.1985,8.79,Available
D0004,2026-06-01,72.32,68.75,0.64,3.34,2.72,0.0,9.4872,11.196,7.7,Available
D0004,2026-07-01,70.08,65.0,0.65,3.75,2.59,0.0,8.7459,11.9288,7.75,Available
D0005,2025-10-01,365.59,327.99,2.68,14.63,9.99,0.0,7.4198,9.8004,32.14,Available
D0005,2025-11-01,362.36,316.54,2.33,11.45,9.56,0.0,6.7135,8.8143,27.9,Available
D0005,2025-12-01,312.76,302.57,2.4,13.97,9.23,0.0,7.1248,9.5128,28.78,Available
D0005,2026-01-01,330.62,289.87,2.62,12.7,8.82,0.0,7.8274,10.8534,31.46,Available
D0005,2026-02-01,286.41,277.4,2.4,12.47,8.45,0.0,7.3649,10.3715,28.77,Available
D0005,2026-03-01,,,,,,,,,,Incomplete
D0005,2026-04-01,274.34,253.97,2.29,11.58,7.74,7.1,7.3152,10.797,27.42,Available
D0005,2026-05-01,279.35,243.15,1.7,10.82,7.4,0.0,5.9694,8.4041,20.43,Available
D0005,2026-06-01,259.14,232.27,2.1,10.88,7.09,0.0,7.3412,10.8388,25.18,Available
D0005,2026-07-01,243.1,217.88,1.85,14.39,6.77,0.0,7.389,10.1951,22.21,Available
D0006,2024-06-01,84.76,84.29,0.65,2.48,1.77,0.0,7.7855,9.3032,7.84,Available
D0006,2024-07-01,93.01,81.98,0.57,2.31,1.72,0.0,6.6609,8.32,6.82,Available
D0006,2024-08-01,85.49,79.58,0.55,2.4,1.67,0.0,6.2465,8.2656,6.58,Available
D0006,2024-09-01,79.78,77.63,0.66,1.95,1.62,0.0,7.3547,10.1639,7.89,Available
D0006,2024-10-01,86.85,75.6,0.68,2.03,1.58,0.0,7.3641,10.7675,8.14,Available
D0006,2024-11-01,76.42,73.82,0.51,1.78,1.54,0.0,6.7391,8.3286,6.15,Available
D0006,2024-12-01,80.8,71.86,0.6,1.96,1.5,0.0,7.4119,10.0526,7.22,Available
D0006,2025-01-01,73.94,70.15,0.61,1.71,1.46,0.0,7.7706,10.4845,7.35,Available
D0006,2025-02-01,71.09,68.12,0.57,2.03,1.43,0.6,7.7577,9.9943,6.81,Available
D0006,2025-03-01,73.65,66.27,0.56,1.85,1.39,0.0,7.1938,10.1253,6.71,Available
D0006,2025-04-01,65.88,64.43,0.51,1.84,1.35,0.0,6.6546,9.4687,6.1,Available
D0006,2025-05-01,68.6,62.67,0.53,1.76,1.31,1.87,6.6892,10.1848,6.38,Available
D0006,2025-06-01,67.02,60.99,0.45,1.68,1.28,0.0,6.2236,8.9378,5.45,Available
D0006,2025-07-01,66.56,59.44,0.4,1.55,1.24,0.0,5.9979,8.1553,4.85,Available
D0006,2025-08-01,61.52,57.96,0.5,1.48,1.21,1.21,6.93,10.3452,6.0,Available
D0006,2025-09-01,63.05,56.4,0.41,1.56,1.18,0.0,6.8517,8.8124,4.97,Available
D0006,2025-10-01,60.26,54.79,0.4,1.61,1.15,0.4,6.0015,8.8497,4.85,Available
D0006,2025-11-01,54.41,53.23,0.42,1.56,1.12,0.0,7.003,9.5131,5.06,Available
D0006,2025-12-01,54.95,51.7,0.38,1.53,1.08,0.0,6.9119,8.7454,4.52,Available
D0006,2026-01-01,50.45,50.27,0.39,1.43,1.05,0.0,6.0811,9.2488,4.65,Available
D0006,2026-02-01,50.01,49.07,0.38,1.2,1.02,0.0,7.0438,9.3885,4.61,Available
D0006,2026-03-01,52.22,47.85,0.33,1.22,1.0,0.0,6.1706,8.3439,3.99,Available
D0006,2026-04-01,51.69,46.52,0.34,1.33,0.97,1.33,5.9987,8.7604,4.08,Available
D0006,2026-05-01,50.77,45.21,0.34,1.31,0.95,0.0,6.3726,9.0517,4.09,Available
D0006,2026-06-01,43.71,42.58,0.32,2.63,0.92,0.0,6.9129,9.0538,3.86,Available
D0006,2026-07-01,44.73,41.51,0.29,1.07,0.87,0.0,6.8334,8.43,3.5,Available
D0007,2025-09-01,24.74,21.67,0.13,0.99,0.81,0.0,5.823,7.4069,1.61,Available
D0007,2025-10-01,21.7,20.63,0.14,1.04,0.77,0.0,5.9708,8.0995,1.67,Available
D0007,2025-11-01,20.49,19.72,0.18,0.91,0.74,0.0,7.3914,10.7698,2.12,Available
D0007,2025-12-01,20.33,18.89,0.16,0.83,0.71,0.0,7.538,10.1423,1.92,Available
D0007,2026-01-01,19.25,17.14,0.14,1.75,0.68,0.0,7.3397,9.8164,1.68,Available
D0007,2026-02-01,17.51,16.39,0.12,0.75,0.61,0.0,6.8404,8.5928,1.41,Available
D0007,2026-03-01,15.8,15.6,0.11,0.79,0.59,0.0,5.9522,8.4387,1.32,Available
D0007,2026-04-01,15.09,14.92,0.1,0.68,0.56,0.36,6.2414,8.1863,1.22,Available
D0007,2026-05-01,15.73,14.26,0.1,0.66,0.53,0.0,6.3858,8.034,1.15,Available
D0007,2026-06-01,14.81,13.67,0.1,0.59,0.51,0.0,6.6874,8.5682,1.17,Available
D0007,2026-07-01,14.72,13.02,0.11,0.65,0.49,0.0,7.2382,9.9109,1.29,Available
D0008,2024-09-01,324.63,320.37,3.48,10.06,8.79,0.0,10.2764,13.0459,41.8,Available
D0008,2024-10-01,343.37,310.32,3.18,10.05,8.52,0.0,9.5586,12.281,38.11,Available
D0008,2024-11-01,324.54,300.62,3.07,9.7,8.26,0.0,10.0706,12.268,36.88,Reconciliation Required
D0008,2024-12-01,318.5,291.0,2.83,9.62,8.0,0.0,9.204,11.6844,34.0,Available
D0008,2025-01-01,314.39,282.07,2.8,8.93,7.74,0.0,8.6142,11.9078,33.59,Available
D0008,2025-02-01,300.62,273.52,3.1,8.55,7.5,0.0,10.1876,13.6002,37.2,Available
D0008,2025-03-01,289.2,265.28,2.67,8.24,7.28,0.0,8.8598,12.0878,32.07,Available
D0008,2025-04-01,279.4,257.67,2.4,7.61,7.06,0.0,8.838,11.156,28.75,Available
D0008,2025-05-01,251.68,249.63,2.44,8.04,6.86,0.0,9.6896,11.711,29.23,Available
D0008,2025-06-01,274.11,242.29,2.34,7.34,6.64,0.0,9.6447,11.5873,28.07,Available
D0008,2025-07-01,268.07,234.63,2.51,7.66,6.45,4.3,10.2816,12.8611,30.18,Available
D0008,2025-08-01,,,,,,,,,,Incomplete
D0008,2025-09-01,234.14,221.03,2.16,6.55,6.06,0.0,8.5696,11.7459,25.96,Available
D0008,2025-10-01,222.47,214.47,2.2,6.56,5.88,0.0,9.7132,12.3191,26.42,Available
D0008,2025-11-01,,,,,,,,,,Missing
D0008,2025-12-01,217.83,194.15,2.18,13.48,5.52,0.0,10.4724,13.4722,26.16,Available
D0008,2026-01-01,202.55,188.3,1.64,5.85,5.17,0.0,8.816,10.4691,19.71,Available
D0008,2026-02-01,190.33,174.9,1.51,13.4,5.01,0.0,8.7021,10.3932,18.18,Available
D0008,2026-03-01,177.02,169.34,1.79,5.56,4.65,0.0,9.6897,12.6767,21.47,Available
D0008,2026-04-01,169.91,164.43,1.66,4.91,4.51,0.0,9.7868,12.1459,19.97,Available
D0008,2026-05-01,183.33,159.56,1.57,4.87,4.37,0.0,9.5268,11.7916,18.81,Available
D0008,2026-06-01,154.98,154.4,1.58,5.16,4.25,0.0,9.6355,12.2913,18.98,Available
D0008,2026-07-01,163.87,149.72,1.46,4.68,4.11,0.0,9.9188,11.7063,17.53,Available
D0009,2025-03-01,257.68,232.47,2.41,6.26,5.46,0.0,10.017,12.464,28.98,Available
D0009,2025-04-01,231.7,226.58,2.42,5.89,5.31,0.0,10.6271,12.8028,29.01,Available
D0009,2025-05-01,246.87,220.58,2.37,6.0,5.18,0.0,9.8692,12.8793,28.41,Available
D0009,2025-06-01,242.61,214.93,2.21,5.65,5.04,0.0,9.8323,12.3612,26.57,Available
D0009,2025-07-01,214.7,209.6,2.36,5.33,4.91,0.0,10.4986,13.5124,28.32,Available
D0009,2025-08-01,228.96,204.34,2.08,5.26,4.79,0.24,10.4016,12.243,25.02,Available
D0009,2025-09-01,207.58,198.81,2.16,5.53,4.67,0.0,10.6565,13.0275,25.9,Available
D0010,2026-02-01,153.57,149.0,1.52,9.98,7.58,0.0,9.677,12.2235,18.21,Available
D0010,2026-03-01,158.84,139.45,1.44,9.55,7.1,0.0,9.0342,12.4066,17.3,Available
D0010,2026-04-01,138.38,130.25,1.07,9.2,6.65,0.0,8.3012,9.8208,12.79,Available
D0010,2026-05-01,132.96,123.04,1.28,7.21,6.21,0.0,9.5847,12.4728,15.35,Available
D0010,2026-06-01,120.19,116.25,1.15,6.79,5.86,0.0,9.2591,11.8774,13.81,Available
D0010,2026-07-01,113.43,108.46,0.98,7.79,5.54,0.0,8.2238,10.8927,11.81,Available
D0011,2024-07-01,131.2,125.91,1.47,6.23,5.12,0.0,11.0552,14.0165,17.65,Available
D0011,2024-08-01,134.36,120.42,1.2,5.49,4.88,0.0,9.8279,11.9882,14.44,Available
D0011,2024-09-01,117.91,115.01,1.2,5.41,4.66,0.0,10.023,12.4698,14.34,Available
D0011,2024-10-01,123.5,109.18,1.17,5.83,4.45,0.0,11.067,12.8966,14.08,Available
D0011,2024-11-01,108.81,103.72,1.15,5.46,4.23,0.0,10.4806,13.3103,13.81,Available
D0011,2024-12-01,103.82,99.18,1.08,4.54,4.02,0.0,10.5889,13.0379,12.93,Available
D0011,2025-01-01,106.34,94.52,1.01,4.66,3.84,0.0,9.4493,12.8403,12.14,Available
D0011,2025-02-01,97.36,89.84,0.95,4.68,3.66,0.0,9.7821,12.6528,11.37,Available
D0011,2025-03-01,86.21,83.53,0.9,6.31,3.48,0.0,10.0199,12.9769,10.84,Available
D0011,2025-04-01,79.41,79.28,0.92,4.25,3.24,0.0,11.002,13.9973,11.1,Available
D0011,2025-05-01,83.98,73.78,0.78,5.5,3.07,0.0,10.6223,12.6298,9.32,Available
D0011,2025-06-01,73.28,70.6,0.83,3.18,2.86,0.0,11.2722,14.1632,10.0,Available
D0011,2025-07-01,73.39,67.03,0.73,3.57,2.73,0.0,9.5049,12.9994,8.71,Available
D0011,2025-08-01,64.18,63.9,0.6,3.13,2.6,0.0,9.7451,11.3215,7.23,Available
D0011,2025-09-01,68.83,61.08,0.68,2.82,2.48,0.0,11.0967,13.4358,8.21,Available
D0011,2025-10-01,59.84,58.15,0.67,2.93,2.37,0.0,10.2718,13.7386,7.99,Available
D0011,2025-11-01,63.22,55.66,0.63,2.49,2.25,0.0,10.727,13.6456,7.6,Available
D0011,2025-12-01,53.36,52.85,0.55,2.81,2.16,0.64,9.6846,12.5239,6.62,Available
D0011,2026-01-01,51.87,50.37,0.53,2.48,2.05,0.0,10.4732,12.5243,6.31,Available
D0011,2026-02-01,50.68,48.15,0.54,2.22,1.95,0.0,11.3536,13.4011,6.45,Available
D0011,2026-03-01,46.49,45.87,0.47,2.28,1.87,0.0,10.434,12.1665,5.58,Available
D0011,2026-04-01,46.3,43.84,0.43,2.03,1.78,1.01,9.7825,11.7176,5.14,Available
D0011,2026-05-01,42.91,41.71,0.47,2.13,1.7,0.0,10.0754,13.3784,5.58,Available
D0011,2026-06-01,41.77,39.88,0.42,1.83,1.62,0.0,11.004,12.7849,5.1,Available
D0011,2026-07-01,39.63,38.12,0.43,1.76,1.54,0.0,10.7701,13.6652,5.21,Available
D0012,2025-10-01,202.66,180.11,1.28,9.06,6.56,0.0,6.9865,8.56,15.42,Available
D0012,2025-11-01,192.21,171.7,1.59,8.41,6.25,0.0,7.9562,11.078,19.02,Available
D0012,2025-12-01,182.31,163.36,1.19,8.34,5.96,0.0,7.0614,8.7429,14.28,Available
D0012,2026-01-01,166.98,153.47,1.29,9.89,5.67,0.0,8.2771,10.0567,15.43,Available
D0012,2026-02-01,165.71,146.59,1.22,6.88,5.32,0.0,7.2474,10.0063,14.67,Available
D0012,2026-03-01,,,,,,,,,,Missing
D0012,2026-04-01,145.04,133.51,1.05,6.43,4.86,0.0,7.0316,9.4445,12.61,Available
D0012,2026-05-01,140.47,127.49,1.07,6.02,4.63,0.0,7.9036,10.0794,12.85,Available
D0012,2026-06-01,128.53,120.9,0.94,6.59,4.42,0.0,6.8483,9.3622,11.32,Available
D0012,2026-07-01,129.93,114.68,1.05,6.22,4.19,0.0,7.6256,10.9703,12.58,Available
D0013,2025-01-01,169.17,161.67,1.69,9.1,8.25,0.0,9.1202,12.5609,20.31,Available
D0013,2025-02-01,173.29,153.02,1.64,8.65,7.81,0.0,11.0383,12.8333,19.64,Available
D0013,2025-03-01,160.2,145.28,1.56,7.74,7.39,0.0,10.8597,12.8492,18.67,Available
D0013,2025-04-01,152.21,137.77,1.49,7.51,7.01,0.0,10.0984,12.972,17.87,Available
D0013,2025-05-01,133.0,130.48,1.22,7.29,6.65,0.0,9.5139,11.2055,14.62,Available
D0013,2025-06-01,131.74,123.85,1.28,6.63,6.3,0.0,9.4004,12.3611,15.31,Available
D0013,2025-07-01,128.32,117.59,1.16,6.26,5.98,0.0,9.8671,11.8105,13.89,Available
D0013,2025-08-01,126.8,111.5,1.19,6.09,5.68,0.0,9.8189,12.8223,14.3,Available
D0013,2025-09-01,116.22,105.84,1.09,5.66,5.38,0.0,10.1692,12.3484,13.07,Available
D0013,2025-10-01,106.75,100.4,1.2,5.44,5.11,0.0,10.9703,14.3873,14.44,Available
D0013,2025-11-01,96.53,95.08,1.09,5.32,4.85,0.0,10.8747,13.7468,13.07,Available
D0013,2025-12-01,94.23,87.83,0.93,7.25,4.59,0.0,10.272,12.6814,11.14,Available
D0013,2026-01-01,90.82,83.28,0.92,4.55,4.24,0.0,10.5227,13.2909,11.07,Available
D0013,2026-02-01,83.27,78.95,0.85,4.33,4.02,0.0,10.3699,12.9399,10.22,Available
D0013,2026-03-01,78.46,74.68,0.72,4.27,3.81,0.0,9.6906,11.4914,8.58,Available
D0013,2026-04-01,71.27,70.75,0.71,3.93,3.61,0.0,9.5847,11.9947,8.49,Available
D0013,2026-05-01,69.7,67.16,0.68,3.59,3.42,0.0,9.2617,12.1345,8.15,Available
D0014,2025-12-01,291.11,265.76,2.13,10.01,8.31,0.0,7.485,9.6343,25.6,Available
D0014,2026-01-01,272.7,245.89,1.85,19.87,8.01,0.0,7.3519,9.041,22.23,Available
D0014,2026-02-01,266.82,237.12,2.01,8.77,7.41,4.9,7.0318,10.1829,24.15,Available
D0014,2026-03-01,262.03,228.54,1.63,8.58,7.14,0.0,6.7744,8.5679,19.58,Available
D0014,2026-04-01,233.72,219.79,1.59,8.75,6.88,0.52,5.6651,8.6636,19.04,Available
D0014,2026-05-01,,,,,,,,,,Incomplete
D0014,2026-06-01,230.31,204.15,1.61,7.13,6.36,0.0,6.9136,9.4417,19.28,Available
D0014,2026-07-01,218.44,196.43,1.37,7.72,6.15,0.0,5.9986,8.3725,16.45,Available
D0015,2025-01-01,70.68,63.26,0.57,2.27,1.68,0.0,8.9299,10.8442,6.86,Available
D0015,2025-02-01,63.21,61.15,0.48,2.11,1.62,0.0,7.6703,9.3646,5.73,Available
D0015,2025-03-01,62.88,59.15,0.5,2.0,1.56,0.0,7.7214,10.1427,6.0,Available
D0015,2025-04-01,64.06,57.02,0.49,2.13,1.51,0.0,8.2541,10.3934,5.93,Available
D0015,2025-05-01,58.1,54.79,0.5,2.23,1.46,0.0,8.6,10.8801,5.96,Available
D0015,2025-06-01,58.72,52.8,0.38,1.99,1.4,0.0,6.9701,8.6363,4.56,Available
D0015,2025-07-01,55.5,51.02,0.42,1.78,1.35,0.0,8.0052,9.817,5.01,Available
D0015,2025-08-01,54.66,49.17,0.39,1.85,1.3,0.0,7.4372,9.505,4.67,Available
D0015,2025-09-01,50.3,47.48,0.35,1.69,1.26,0.0,7.0424,8.7894,4.17,Available
D0015,2025-10-01,52.73,45.98,0.42,1.5,1.21,0.0,7.4063,10.8751,5.0,Available
D0015,2025-11-01,48.83,44.41,0.38,1.57,1.18,0.37,7.399,10.1596,4.51,Available
D0015,2025-12-01,45.36,42.77,0.35,1.64,1.14,0.0,7.875,9.8252,4.2,Available
D0015,2026-01-01,41.36,41.34,0.33,1.43,1.09,0.0,7.1933,9.4934,3.92,Available
D0015,2026-02-01,42.25,39.76,0.38,1.58,1.06,0.0,8.7434,11.4037,4.53,Available
D0015,2026-03-01,40.94,37.71,0.3,2.05,1.02,0.0,7.9333,9.5943,3.62,Available
D0015,2026-04-01,41.77,36.55,0.32,1.16,0.96,0.0,7.689,10.5577,3.86,Available
D0015,2026-05-01,,,,,,,,,,Incomplete
D0015,2026-06-01,35.0,33.98,0.31,1.24,0.9,0.0,7.9957,10.9213,3.71,Available
D0016,2025-07-01,257.72,251.06,2.16,6.54,6.18,0.0,8.3627,10.3465,25.98,Reconciliation Required
D0016,2025-08-01,253.66,244.67,2.21,6.39,6.02,0.0,7.5058,10.8236,26.48,Available
D0016,2025-09-01,255.45,238.62,2.18,6.05,5.87,0.0,8.4373,10.9768,26.19,Available
D0016,2025-10-01,253.67,232.5,2.15,6.12,5.72,0.0,8.1753,11.1069,25.82,Available
D0016,2025-11-01,254.7,226.55,2.31,5.95,5.58,0.0,9.1304,12.2537,27.76,Available
D0016,2025-12-01,224.39,220.96,2.11,5.59,5.43,4.17,8.3699,11.4447,25.29,Available
D0016,2026-01-01,236.5,215.3,1.8,5.66,5.3,0.0,7.806,10.0389,21.61,Available
D0016,2026-02-01,224.36,209.93,2.01,5.37,5.16,0.0,8.5899,11.4773,24.09,Available
D0016,2026-03-01,218.38,204.56,1.71,5.37,5.03,0.0,7.8716,10.0329,20.52,Available
D0016,2026-04-01,212.84,196.25,2.04,8.31,4.91,0.0,9.1981,12.4584,24.45,Available
D0016,2026-05-01,210.65,191.33,1.84,4.92,4.71,0.0,8.6405,11.5667,22.13,Available
D0016,2026-06-01,192.79,186.42,1.48,4.91,4.59,0.0,7.5317,9.5463,17.8,Available
D0016,2026-07-01,205.41,181.69,1.67,4.73,4.47,0.0,8.5217,11.0389,20.06,Available
D0017,2025-12-01,297.43,281.47,2.92,14.67,10.51,0.0,9.8878,12.4345,35.0,Available
D0017,2026-01-01,295.32,268.4,2.72,13.07,9.99,0.0,9.922,12.1817,32.7,Available
D0017,2026-02-01,261.62,257.01,2.71,11.39,9.53,0.0,9.6727,12.6302,32.46,Available
D0017,2026-03-01,275.58,245.43,2.83,11.58,9.13,0.0,10.8656,13.8581,34.01,Available
D0017,2026-04-01,266.79,233.45,2.64,11.98,8.71,0.0,10.8243,13.5771,31.7,Available
D0017,2026-05-01,250.18,223.44,2.14,10.01,8.29,0.0,9.8145,11.4734,25.64,Available
D0017,2026-06-01,240.77,213.33,2.47,10.11,7.93,0.0,10.5246,13.8973,29.65,Available
D0017,2026-07-01,225.64,203.28,2.26,10.05,7.57,1.62,10.335,13.3212,27.08,Available
D0018,2026-01-01,124.98,123.16,1.24,8.15,6.24,0.0,9.5966,12.0512,14.84,Available
D0018,2026-02-01,124.37,116.08,1.21,7.08,5.85,0.0,10.1634,12.5472,14.56,Available
D0018,2026-03-01,122.97,108.27,1.21,7.81,5.52,0.0,11.1008,13.4603,14.57,Available
D0018,2026-04-01,116.34,101.27,1.09,7.0,5.15,0.0,9.8501,12.8612,13.02,Available
D0018,2026-05-01,98.84,94.8,1.02,6.47,4.81,0.0,10.4627,12.9293,12.26,Available
D0018,2026-06-01,97.33,88.98,0.91,5.82,4.51,0.0,9.7643,12.2704,10.92,Available
D0018,2026-07-01,88.87,82.72,0.82,6.26,4.23,0.0,9.3333,11.8524,9.8,Available
D0019,2025-02-01,307.94,299.25,2.71,10.66,7.86,0.0,7.7261,10.8712,32.53,Available
D0019,2025-03-01,317.94,288.33,2.41,10.92,7.59,0.0,7.5672,10.011,28.86,Available
D0019,2025-04-01,285.07,277.91,2.55,10.42,7.31,0.0,8.7162,11.0087,30.59,Available
D0019,2025-05-01,282.58,265.95,2.4,11.96,7.05,0.0,8.1524,10.8429,28.84,Available
D0019,2025-06-01,284.18,256.25,2.24,9.7,6.75,6.41,8.3584,10.4709,26.83,Available
D0019,2025-07-01,281.34,246.57,1.87,9.68,6.5,0.0,7.5746,9.0859,22.4,Available
D0019,2025-08-01,266.0,236.91,2.02,9.66,6.25,0.0,8.1862,10.2346,24.25,Available
D0019,2025-09-01,239.71,226.71,2.16,10.2,6.01,0.0,9.0526,11.4076,25.86,Available
D0019,2025-10-01,219.11,216.69,1.85,10.02,5.75,0.0,8.2198,10.2677,22.25,Available
D0019,2025-11-01,231.44,207.16,1.83,9.53,5.5,0.0,7.1959,10.5893,21.94,Available
D0019,2025-12-01,199.07,197.31,1.61,9.85,5.25,0.0,7.1261,9.7983,19.33,Available
D0019,2026-01-01,214.86,189.78,1.74,7.53,5.0,0.0,8.5315,10.9752,20.83,Available
D0019,2026-02-01,196.27,180.71,1.51,9.07,4.81,0.0,7.3521,10.0317,18.13,Available
D0019,2026-03-01,194.83,173.55,1.5,7.16,4.58,0.0,7.7786,10.3919,18.04,Available
