deal_id,sub_code,deal_name,status,fy,period,company,instrument_type,underlying,psl_npsl,investor_name,trustee_ar,trustee,ratio,borrowing_date,payout_date,mclr_linked_or_fixed,mclr_on_deal_date,spread,deal_roi,servicing_fee_pct,net_roi,no_of_pool_contracts,amount_securitised_deal_date,purchase_consideration_deal_date,rating,loss_estimation_rating,first_loss_facility_pct,overcollateral_pct,tranche,credit_enhancement_type,credit_enhancement_initial_amount,mrr_percent,stated_tenor_months,underlying_seasoning_months,true_sale_criteria_met,true_sale_assumption_note,processing_fees_paid,documentation_charges,external_ca_fees,legal_documentation_fees,rating_fees,trustee_fees_pa,arranger_fees
D0011,,Bank-MFI-D0011,Active,FY25,FY25 Q2,IIFL Finance Limited,PTC,MFI,NPSL,Bank of Maharashtra,Catalyst Trusteeship,Catalyst Trusteeship,0.9377,2024-07-13,2024-08-13,Fixed,10.92,1.94,12.86,0.8918,11.7794,7957,132.14,129.16,A+(SO),A+(SO),0.0501,0.0,Senior,First Loss Guarantee,6.62,0.1,22,13,False,True-sale status not independently verified for this synthetic deal -- flagged for legal review.,0.13,0.2,0.14,0.25,0.31,0.17,0.33
D0012,,UCO-BL-D0012,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,BL,NPSL,UCO Bank,Vistra ITCL,Axis Trustee,0.8826,2025-10-07,2025-11-07,MCLR Linked,7.23,2.92,10.15,1.5458,9.0956,23006,189.17,184.72,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,22,2,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.19,0.13,0.44,0.3,0.64,0.13,0.47
D0013,,UCO-LAP-D0013,Closed,FY25,FY25 Q4,IIFL Finance Limited,DA,LAP,PSL,UCO Bank,IDBI Trusteeship,IDBI Trusteeship,0.8524,2025-01-10,2025-02-10,Fixed,9.83,2.71,12.54,0.8673,11.5649,7502,170.77,162.39,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,57,18,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.17,0.23,0.2,0.28,0.53,0.12,0.43
D0014,,Federal-LAP-D0014,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,LAP,NPSL,Federal Bank,Axis Trustee,Axis Trustee,0.9397,2025-12-23,2026-01-23,MCLR Linked,6.02,3.0,9.02,1.6155,8.0453,23303,275.77,257.93,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,44,16,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.28,0.21,0.41,0.54,0.94,0.28,0.69
D0015,,Central-MFI-D0015,Closed,FY25,FY25 Q4,IIFL Finance Limited,PTC,MFI,NPSL,Central Bank of India,Axis Trustee,Catalyst Trusteeship,0.9443,2025-01-08,2025-02-08,MCLR Linked,7.86,2.58,10.44,0.9479,9.55,5507,65.53,62.04,A+(SO),A+(SO),0.0,0.0051,Senior,Overcollateralization,0.33,0.05,18,2,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.07,0.09,0.18,0.12,0.22,0.09,0.16
D0016,,Karur-LAP-D0016,Active,FY26,FY26 Q2,IIFL Finance Limited,PTC,LAP,NPSL,Karur Vysya Bank,Vistra ITCL,Vistra ITCL,0.9261,2025-07-01,2025-08-01,Fixed,7.91,2.84,10.75,1.0687,9.498,4682,257.6,252.15,A+(SO),A+(SO),0.1183,0.0,Senior,First Loss Guarantee,30.47,0.05,65,10,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.26,0.34,0.39,0.29,0.4,0.27,0.64
D0017,,DCB-SME-D0017,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,SME,PSL,DCB Bank,Vistra ITCL,Catalyst Trusteeship,0.9079,2025-12-02,2026-01-02,MCLR Linked,8.99,3.4,12.39,1.8933,11.3142,8316,296.14,285.33,Unrated,Unrated,0.0,0.0,,None,0.0,0.1,32,8,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.3,0.42,0.52,0.71,0.59,0.32,0.74
D0018,,RBL-Gold-D0018,Active,FY26,FY26 Q4,IIFL Finance Limited,PTC,Gold,NPSL,RBL Bank,Axis Trustee,Axis Trustee,0.9326,2026-01-20,2026-02-20,MCLR Linked,9.53,3.09,12.62,1.3887,11.7977,12642,131.31,124.74,AAA(SO),AAA(SO),0.0362,0.0,Senior,First Loss Guarantee,4.75,0.05,11,5,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.13,0.1,0.38,0.19,0.34,0.16,0.33
D0019,,Punjab-MFI-D0019,Active,FY25,FY25 Q4,IIFL Finance Limited,DA,MFI,NPSL,Punjab and Sind Bank,Catalyst Trusteeship,Catalyst Trusteeship,0.8794,2025-02-06,2025-03-06,Fixed,8.58,2.02,10.6,1.1066,9.8567,9552,309.91,300.33,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,19,6,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.31,0.36,0.54,0.57,0.73,0.46,0.77
D0020,,RBL-MFI-D0020,Closed,FY25,FY25 Q4,IIFL Finance Limited,DA,MFI,NPSL,RBL Bank,Catalyst Trusteeship,Catalyst Trusteeship,0.9053,2025-01-09,2025-02-09,MCLR Linked,10.12,2.13,12.25,1.5461,11.6237,9560,79.17,76.93,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,16,5,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.08,0.11,0.16,0.18,0.23,0.08,0.2
D0021,,Bank-MFI-D0021,Active,FY25,FY25 Q3,IIFL Finance Limited,DA,MFI,NPSL,Bank of Maharashtra,Axis Trustee,Axis Trustee,0.8797,2024-12-28,2025-01-28,MCLR Linked,10.4,2.3,12.7,1.3828,11.7712,5471,208.3,201.65,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,20,12,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.21,0.22,0.23,0.51,0.36,0.26,0.52
D0022,,DCB-MFI-D0022,Active,FY25,FY25 Q3,IIFL Finance Limited,PTC,MFI,PSL,DCB Bank,Vistra ITCL,IDBI Trusteeship,0.8571,2024-11-06,2024-12-06,Fixed,7.38,2.32,9.7,0.7489,8.8924,23665,112.57,105.39,AAA(SO),AAA(SO),0.0,0.0,Senior,None,0.0,0.1,22,6,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.11,0.14,0.24,0.16,0.2,0.13,0.28
D0023,,UCO-MFI-D0023,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,MFI,NPSL,UCO Bank,Axis Trustee,Vistra ITCL,0.8681,2025-06-03,2025-07-03,Fixed,8.41,3.28,11.69,1.378,10.5552,8001,217.24,200.25,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,24,7,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.22,0.22,0.26,0.33,0.51,0.25,0.54
D0024,,Federal-MFI-D0024,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,MFI,PSL,Federal Bank,IDBI Trusteeship,Vistra ITCL,0.9049,2025-01-22,2025-02-22,Fixed,10.06,2.6,12.66,1.8915,11.7219,4298,44.5,41.73,Unrated,Unrated,0.0,0.0,Senior,Cash Collateral,3.27,0.05,20,15,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.04,0.05,0.06,0.11,0.13,0.03,0.11
D0025,,UCO-MFI-D0025,Active,FY26,FY26 Q1,IIFL Samasta Finance,PTC,MFI,PSL,UCO Bank,Vistra ITCL,Axis Trustee,0.884,2025-05-03,2025-06-03,MCLR Linked,6.83,3.18,10.01,1.6816,9.2428,5545,169.59,157.42,Unrated,Unrated,0.0,0.0573,Senior,Overcollateralization,9.72,0.05,19,9,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.17,0.09,0.42,0.38,0.5,0.2,0.42
D0026,,UCO-LAP-D0026,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,LAP,PSL,UCO Bank,Axis Trustee,Catalyst Trusteeship,0.9026,2025-02-18,2025-03-18,MCLR Linked,7.33,3.37,10.7,1.1854,9.4776,13049,343.56,321.82,AAA(SO),AAA(SO),0.0,0.062,Senior,Overcollateralization,21.3,0.1,45,6,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.34,0.31,0.79,0.42,0.92,0.5,0.86
D0027,,RBL-BL-D0027,Closed,FY25,FY25 Q1,IIFL Finance Limited,DA,BL,PSL,RBL Bank,Axis Trustee,IDBI Trusteeship,0.9194,2024-06-28,2024-07-28,Fixed,9.46,2.57,12.03,1.8551,11.484,16489,224.98,220.96,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,16,2,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.22,0.29,0.36,0.35,0.42,0.23,0.56
D0028,,Bank-SME-D0028,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,SME,PSL,Bank of Maharashtra,Axis Trustee,Axis Trustee,0.8607,2025-04-20,2025-05-20,MCLR Linked,9.57,2.5,12.07,1.072,11.211,15559,17.26,16.07,A+(SO),A+(SO),0.0,0.0008,Subordinate,Overcollateralization,0.01,0.05,44,5,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.02,0.01,0.04,0.02,0.06,0.02,0.04
D0029,,AU-BL-D0029,Active,FY26,FY26 Q4,IIFL Finance Limited,PTC,BL,NPSL,AU Small Finance Bank,Catalyst Trusteeship,Vistra ITCL,0.9232,2026-03-02,2026-04-02,Fixed,10.11,2.99,13.1,0.6352,12.3049,12044,274.87,257.31,AA(SO),AA(SO),0.0497,0.0,Senior,First Loss Guarantee,13.66,0.1,22,13,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.27,0.34,0.37,0.33,0.78,0.4,0.69
D0030,,South-SME-D0030,Active,FY26,FY26 Q2,IIFL Finance Limited,DA,SME,NPSL,South Indian Bank,Vistra ITCL,Vistra ITCL,0.9085,2025-07-26,2025-08-26,MCLR Linked,7.09,3.24,10.33,1.7336,8.8897,7892,171.89,159.04,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.1,35,12,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.17,0.1,0.25,0.18,0.64,0.18,0.43
D0031,,Aditya-HCF-D0031,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,HCF,PSL,Aditya Birla Capital Limited,Axis Trustee,Axis Trustee,0.9439,2025-06-23,2025-07-23,MCLR Linked,8.04,2.32,10.36,0.9196,9.1697,16642,30.19,27.85,Unrated,Unrated,0.0,0.0188,Senior,Overcollateralization,0.57,0.1,82,17,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.03,0.02,0.06,0.04,0.07,0.04,0.08
D0032,,DCB-BL-D0032,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,BL,PSL,DCB Bank,Vistra ITCL,IDBI Trusteeship,0.9289,2025-04-09,2025-05-09,Fixed,8.11,1.74,9.85,1.394,9.0727,21454,45.71,42.73,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,21,15,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.05,0.07,0.14,0.08,0.16,0.03,0.11
D0033,,Punjab-SME-D0033,Active,FY27,FY27 Q1,IIFL Finance Limited,PTC,SME,NPSL,Punjab and Sind Bank,Catalyst Trusteeship,Catalyst Trusteeship,0.9499,2026-05-08,2026-06-08,Fixed,10.12,1.53,11.65,1.7709,10.7237,17738,32.55,31.64,A+(SO),A+(SO),0.0,0.0051,Senior,Overcollateralization,0.17,0.05,43,18,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.03,0.02,0.08,0.05,0.12,0.03,0.08
D0034,,Bank-Gold-D0034,Active,FY26,FY26 Q3,IIFL Finance Limited,PTC,Gold,NPSL,Bank of Maharashtra,Vistra ITCL,Vistra ITCL,0.9454,2025-12-19,2026-01-19,Fixed,9.32,2.15,11.47,1.5302,10.4957,3749,166.99,160.71,Unrated,Unrated,0.0,0.0,Senior,Cash Collateral,8.78,0.05,9,14,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.17,0.1,0.2,0.28,0.56,0.15,0.42
D0035,,Punjab-BL-D0035,Active,FY26,FY26 Q2,IIFL Finance Limited,PTC,BL,PSL,Punjab and Sind Bank,Vistra ITCL,IDBI Trusteeship,0.9307,2025-09-18,2025-10-18,Fixed,8.74,1.74,10.48,1.7677,9.0055,14358,307.66,303.32,AA(SO),AA(SO),0.0,0.0577,Senior,Overcollateralization,17.75,0.05,22,4,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.31,0.41,0.69,0.6,0.48,0.44,0.77
D0036,,Bank-Gold-D0036,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,Gold,NPSL,Bank of Maharashtra,Catalyst Trusteeship,Catalyst Trusteeship,0.8656,2026-04-10,2026-05-10,MCLR Linked,10.95,2.2,13.15,1.6317,12.6002,13632,306.4,294.03,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,9,8,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.31,0.18,0.58,0.5,0.92,0.28,0.77
D0037,,Aditya-BL-D0037,Active,FY25,FY25 Q2,IIFL Finance Limited,PTC,BL,NPSL,Aditya Birla Capital Limited,Catalyst Trusteeship,Axis Trustee,0.9362,2024-07-10,2024-08-10,Fixed,9.12,2.55,11.67,0.5635,11.1513,20138,30.21,28.63,AA+(SO),AA+(SO),0.0349,0.0,Senior,First Loss Guarantee,1.05,0.05,19,5,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.03,0.04,0.08,0.06,0.09,0.04,0.08
D0038,,Aditya-MFI-D0038,Active,FY25,FY25 Q4,IIFL Finance Limited,DA,MFI,PSL,Aditya Birla Capital Limited,Vistra ITCL,Vistra ITCL,0.9227,2025-02-06,2025-03-06,Fixed,8.62,3.16,11.78,1.7284,10.465,8472,44.52,43.59,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,17,15,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.04,0.03,0.06,0.06,0.13,0.06,0.11
D0039,,Bandhan-SME-D0039,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,SME,PSL,Bandhan Bank,Catalyst Trusteeship,Axis Trustee,0.8963,2025-06-25,2025-07-25,Fixed,8.88,2.66,11.54,1.3315,10.2482,5446,304.52,293.53,AA(SO),AA(SO),0.0,0.0375,Senior,Overcollateralization,11.42,0.05,38,6,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.3,0.43,0.58,0.67,0.95,0.25,0.76
D0040,,Bank-BL-D0040,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,BL,PSL,Bank of Maharashtra,Vistra ITCL,Catalyst Trusteeship,0.883,2025-06-04,2025-07-04,MCLR Linked,9.48,3.17,12.65,1.3369,11.7634,8618,184.02,171.52,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,17,1,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.18,0.14,0.5,0.45,0.55,0.12,0.46
D0041,,DCB-BL-D0041,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,BL,PSL,DCB Bank,IDBI Trusteeship,IDBI Trusteeship,0.8655,2025-03-10,2025-04-10,MCLR Linked,9.86,2.28,12.14,0.9437,10.8519,11263,118.71,112.34,Unrated,Unrated,0.1032,0.0,Senior,First Loss Guarantee,12.25,0.05,16,6,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.12,0.12,0.25,0.25,0.33,0.14,0.3
D0042,,Federal-BL-D0042,Active,FY25,FY25 Q2,IIFL Finance Limited,PTC,BL,NPSL,Federal Bank,Vistra ITCL,Axis Trustee,0.9003,2024-09-27,2024-10-27,Fixed,8.5,3.31,11.81,1.128,11.1479,24079,29.64,28.02,AA(SO),AA(SO),0.0514,0.0,Senior,First Loss Guarantee,1.52,0.05,24,6,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.03,0.02,0.07,0.07,0.05,0.03,0.07
D0043,,Aditya-BL-D0043,Active,FY26,FY26 Q2,IIFL Finance Limited,DA,BL,PSL,Aditya Birla Capital Limited,Vistra ITCL,IDBI Trusteeship,0.8528,2025-08-28,2025-09-28,MCLR Linked,7.89,1.67,9.56,1.8962,8.2208,5328,106.39,104.62,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,18,11,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.11,0.12,0.27,0.13,0.24,0.14,0.27
D0044,,Central-HCF-D0044,Closed,FY25,FY25 Q1,IIFL Finance Limited,PTC,HCF,PSL,Central Bank of India,Vistra ITCL,IDBI Trusteeship,0.9071,2024-04-03,2024-05-03,Fixed,8.17,1.8,9.97,0.781,8.8018,10368,52.25,49.12,Unrated,Unrated,0.0,0.0,Senior,Cash Collateral,3.93,0.05,80,17,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.05,0.05,0.09,0.13,0.15,0.07,0.13
D0045,,AU-LAP-D0045,Active,FY26,FY26 Q3,IIFL Finance Limited,PTC,LAP,PSL,AU Small Finance Bank,IDBI Trusteeship,Catalyst Trusteeship,0.9216,2025-12-13,2026-01-13,MCLR Linked,11.4,2.01,13.41,1.9154,12.873,8401,134.63,124.5,Unrated,Unrated,0.0,0.0,Senior,Cash Collateral,4.34,0.05,47,16,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.13,0.09,0.35,0.31,0.31,0.11,0.34
D0046,,Central-BL-D0046,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,BL,NPSL,Central Bank of India,Catalyst Trusteeship,Axis Trustee,0.8579,2026-04-21,2026-05-21,MCLR Linked,7.65,2.21,9.86,1.4037,8.5377,4578,305.04,287.72,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.1,17,1,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.31,0.32,0.5,0.34,0.96,0.25,0.76
D0047,,RBL-SME-D0047,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,SME,PSL,RBL Bank,IDBI Trusteeship,Catalyst Trusteeship,0.8736,2025-06-02,2025-07-02,Fixed,8.95,3.32,12.27,1.4677,11.4078,2379,106.98,105.76,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,29,1,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.11,0.16,0.11,0.13,0.28,0.09,0.27
D0048,,Indian-Gold-D0048,Closed,FY25,FY25 Q4,IIFL Finance Limited,DA,Gold,PSL,Indian Overseas Bank,Axis Trustee,IDBI Trusteeship,0.9399,2025-03-13,2025-04-13,MCLR Linked,6.83,3.42,10.25,1.1677,9.6622,13180,261.45,249.67,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.1,10,10,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.26,0.31,0.7,0.39,0.62,0.15,0.65
D0049,,AU-MFI-D0049,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,MFI,PSL,AU Small Finance Bank,Vistra ITCL,Axis Trustee,0.95,2026-02-23,2026-03-23,MCLR Linked,8.78,3.09,11.87,1.5783,10.8443,5050,55.66,51.99,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,24,0,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.06,0.07,0.15,0.06,0.22,0.06,0.14
D0050,,DCB-LAP-D0050,Active,FY25,FY25 Q2,IIFL Finance Limited,DA,LAP,NPSL,DCB Bank,IDBI Trusteeship,Vistra ITCL,0.8625,2024-08-27,2024-09-27,MCLR Linked,10.02,1.86,11.88,0.9542,10.8465,2315,159.93,157.33,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,50,14,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.16,0.16,0.21,0.39,0.3,0.19,0.4
D0051,,Punjab-BL-D0051,Closed,FY25,FY25 Q1,IIFL Finance Limited,DA,BL,PSL,Punjab and Sind Bank,Catalyst Trusteeship,IDBI Trusteeship,0.894,2024-04-03,2024-05-03,MCLR Linked,9.24,2.65,11.89,1.2264,11.186,21438,271.93,258.11,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,15,13,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.27,0.3,0.44,0.56,0.91,0.37,0.68
D0052,,Bandhan-SME-D0052,Active,FY26,FY26 Q2,IIFL Finance Limited,DA,SME,NPSL,Bandhan Bank,Axis Trustee,Axis Trustee,0.9379,2025-09-04,2025-10-04,Fixed,8.01,2.43,10.44,1.2461,9.85,2158,165.61,153.99,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,34,5,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.17,0.15,0.32,0.23,0.49,0.09,0.41
